P 300, 2000, 0, 0, 0, 0, 2, Original_Map:_Goodurden<RoI>
P 300.0000, 2200.0000, 0.0000,  0, 0, 0,  2,  Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 300.0000, 2400.0000, 0.0000,  0, 0, 0,  2,  http://www.eqmaps.info
P 300.0000, 2600.0000, 0.0000,  0, 0, 0,  2,  Return_of_the_Exiled_(www.roteguild.org)
L -380, -1344, -685, -361, -1344, -685, 150, 150, 150
L -354, -1360, -685, -361, -1375, -685, 150, 150, 150
L -361, -1375, -685, -379, -1375, -685, 150, 150, 150
L -379, -1375, -685, -387, -1360, -685, 150, 150, 150
L -387, -1360, -685, -380, -1344, -685, 150, 150, 150
L -354, -1360, -685, -361, -1344, -684, 150, 150, 150
L -809, -1421, -686, -823, -1392, -685, 150, 150, 150
L -823, -1392, -685, -854, -1389, -686, 150, 150, 150
L -854, -1389, -686, -873, -1416, -686, 150, 150, 150
L -873, -1416, -686, -859, -1445, -686, 150, 150, 150
L -859, -1445, -686, -826, -1448, -686, 150, 150, 150
L -826, -1448, -686, -809, -1421, -686, 150, 150, 150
L -822, -1419, -686, -830, -1403, -686, 150, 150, 150
L -830, -1403, -686, -849, -1401, -685, 150, 150, 150
L -849, -1401, -685, -858, -1417, -686, 150, 150, 150
L -858, -1417, -686, -850, -1433, -686, 150, 150, 150
L -850, -1433, -686, -833, -1434, -686, 150, 150, 150
L -833, -1434, -686, -822, -1419, -686, 150, 150, 150
L -1112, -542, -15, -1127, -526, -15, 64, 64, 64
L -1127, -526, -15, -1146, -518, -15, 64, 64, 64
L -1146, -518, -15, -1163, -508, -14, 64, 64, 64
L -1163, -508, -14, -1183, -502, -14, 64, 64, 64
L -1183, -502, -14, -1217, -480, -15, 64, 64, 64
L -1217, -480, -15, -1232, -465, -15, 64, 64, 64
L -1232, -465, -15, -1261, -438, -15, 64, 64, 64
L -1261, -438, -15, -1254, -418, -15, 64, 64, 64
L -1254, -418, -15, -1241, -399, -15, 64, 64, 64
L -1241, -399, -15, -1235, -378, -15, 64, 64, 64
L -1235, -378, -15, -1222, -358, -15, 64, 64, 64
L -1222, -358, -15, -1214, -338, -15, 64, 64, 64
L -1214, -338, -15, -1190, -302, -15, 64, 64, 64
L -1190, -302, -15, -1173, -287, -15, 64, 64, 64
L -1173, -287, -15, -1159, -270, -15, 64, 64, 64
L -1159, -270, -15, -1137, -257, -15, 64, 64, 64
L -1137, -257, -15, -1110, -253, -15, 64, 64, 64
L -1110, -253, -15, -1094, -265, -15, 64, 64, 64
L -1094, -265, -15, -1069, -269, -15, 64, 64, 64
L -1113, -542, -15, -1090, -545, -15, 64, 64, 64
L -1090, -545, -15, -1071, -531, -15, 64, 64, 64
L -1071, -531, -15, -1063, -511, -15, 64, 64, 64
L -1063, -511, -15, -1045, -496, -14, 64, 64, 64
L -1045, -496, -14, -1035, -475, -13, 64, 64, 64
L -1035, -475, -13, -1018, -460, -14, 64, 64, 64
L -1018, -460, -14, -1005, -442, -15, 64, 64, 64
L -1005, -442, -15, -998, -421, -15, 64, 64, 64
L -998, -421, -15, -988, -401, -15, 64, 64, 64
L -988, -401, -15, -976, -383, -15, 64, 64, 64
L -976, -383, -15, -967, -363, -15, 64, 64, 64
L -967, -363, -15, -978, -344, -15, 64, 64, 64
L -978, -344, -15, -992, -328, -15, 64, 64, 64
L -992, -328, -15, -1004, -311, -15, 64, 64, 64
L -1004, -311, -15, -1021, -300, -15, 64, 64, 64
L -1021, -300, -15, -1036, -286, -15, 64, 64, 64
L -1036, -286, -15, -1054, -275, -15, 64, 64, 64
L -1054, -275, -15, -1069, -269, -15, 64, 64, 64
L -1037, -340, -10, -1101, -303, -15, 150, 150, 150
L -1101, -303, -15, -1165, -340, -9, 150, 150, 150
L -1165, -414, 0, -1165, -340, -9, 150, 150, 150
L -1165, -414, 0, -1101, -451, 0, 150, 150, 150
L -1101, -451, 0, -1037, -414, -5, 150, 150, 150
L -1037, -414, -5, -1037, -387, -1, 150, 150, 150
L -1037, -367, -4, -1037, -340, -10, 150, 150, 150
L -1047, -371, 4, -1047, -346, 4, 150, 150, 150
L -1047, -346, 4, -1101, -315, 4, 150, 150, 150
L -1101, -315, 4, -1155, -346, 4, 150, 150, 150
L -1155, -346, 4, -1155, -408, 4, 150, 150, 150
L -1155, -408, 4, -1101, -439, 4, 150, 150, 150
L -1101, -439, 4, -1047, -408, 4, 150, 150, 150
L -1047, -408, 4, -1047, -383, 4, 150, 150, 150
L -1047, -383, 7, -1051, -383, 7, 150, 150, 150
L -1047, -371, 7, -1051, -371, 7, 150, 150, 150
L -1051, -371, 6, -1051, -349, 6, 150, 150, 150
L -1051, -349, 6, -1101, -320, 6, 150, 150, 150
L -1101, -320, 6, -1151, -349, 6, 150, 150, 150
L -1151, -349, 6, -1151, -406, 6, 150, 150, 150
L -1151, -406, 6, -1101, -435, 6, 150, 150, 150
L -1101, -435, 6, -1051, -406, 6, 150, 150, 150
L -1051, -406, 6, -1051, -383, 6, 150, 150, 150
L -332, 1059, 787, -330, 1056, 787, 0, 0, 0
L -330, 1056, 787, -339, 1045, 786, 0, 0, 0
L -339, 1045, 786, -335, 1009, 787, 0, 0, 0
L -335, 1009, 787, -301, 1029, 787, 0, 0, 0
L -301, 1029, 787, -293, 1029, 787, 0, 0, 0
L -255, 1072, 806, -293, 1029, 787, 0, 0, 0
L -379, 1184, 766, -395, 1156, 766, 150, 150, 150
L -395, 1156, 766, -426, 1156, 766, 150, 150, 150
L -426, 1156, 766, -441, 1184, 766, 150, 150, 150
L -441, 1184, 766, -427, 1211, 766, 150, 150, 150
L -427, 1211, 766, -394, 1211, 766, 150, 150, 150
L -394, 1211, 766, -379, 1184, 766, 150, 150, 150
L -392, 1184, 766, -401, 1169, 766, 150, 150, 150
L -401, 1169, 766, -419, 1168, 766, 150, 150, 150
L -419, 1168, 766, -428, 1184, 766, 150, 150, 150
L -428, 1184, 766, -419, 1200, 766, 150, 150, 150
L -419, 1200, 766, -401, 1200, 767, 150, 150, 150
L -401, 1200, 767, -392, 1184, 766, 150, 150, 150
L -487, 1033, 766, -493, 982, 766, 64, 64, 64
L -493, 982, 766, -464, 929, 766, 64, 64, 64
L -464, 929, 766, -464, 878, 766, 64, 64, 64
L -464, 878, 766, -448, 828, 766, 64, 64, 64
L -448, 828, 766, -448, 776, 766, 64, 64, 64
L -448, 776, 766, -435, 725, 766, 64, 64, 64
L -435, 725, 766, -390, 716, 766, 64, 64, 64
L -390, 716, 766, -343, 709, 766, 64, 64, 64
L -343, 709, 766, -296, 683, 766, 64, 64, 64
L -296, 683, 766, -248, 685, 766, 64, 64, 64
L -248, 685, 766, -160, 709, 768, 64, 64, 64
L -160, 709, 768, -113, 709, 766, 64, 64, 64
L -113, 709, 766, -68, 716, 766, 64, 64, 64
L -68, 716, 766, -22, 702, 766, 64, 64, 64
L -22, 702, 766, 22, 726, 766, 64, 64, 64
L 22, 726, 766, 41, 776, 766, 64, 64, 64
L 41, 776, 766, 31, 826, 766, 64, 64, 64
L 31, 826, 766, 46, 879, 768, 64, 64, 64
L 46, 879, 768, 68, 925, 768, 64, 64, 64
L 68, 925, 768, 71, 969, 768, 64, 64, 64
L 71, 969, 768, 50, 1031, 767, 64, 64, 64
L 50, 1031, 767, 63, 1091, 766, 64, 64, 64
L 63, 1091, 766, 31, 1134, 766, 64, 64, 64
L 31, 1134, 766, 31, 1185, 766, 64, 64, 64
L 31, 1185, 766, 22, 1236, 766, 64, 64, 64
L 22, 1236, 766, -22, 1259, 766, 64, 64, 64
L -22, 1259, 766, -67, 1273, 766, 64, 64, 64
L -67, 1273, 766, -113, 1292, 766, 64, 64, 64
L -113, 1292, 766, -158, 1292, 766, 64, 64, 64
L -158, 1292, 766, -205, 1286, 766, 64, 64, 64
L -205, 1286, 766, -252, 1303, 766, 64, 64, 64
L -252, 1303, 766, -296, 1280, 766, 64, 64, 64
L -296, 1280, 766, -343, 1274, 766, 64, 64, 64
L -343, 1274, 766, -389, 1278, 766, 64, 64, 64
L -389, 1278, 766, -434, 1236, 766, 64, 64, 64
L -434, 1236, 766, -459, 1183, 766, 64, 64, 64
L -459, 1183, 766, -464, 1133, 766, 64, 64, 64
L -464, 1133, 766, -487, 1033, 766, 64, 64, 64
L 804, 1092, -1057, 794, 1087, -1057, 0, 0, 0
L 884, 990, -1057, 972, 990, -1057, 0, 0, 0
L 781, 1034, -1057, 790, 1019, -1057, 150, 150, 150
L 650, 1046, -1057, 725, 1046, -1057, 150, 150, 150
L 989, 960, -1057, 998, 965, -1057, 0, 0, 0
L 803, 965, -1057, 794, 959, -1057, 0, 0, 0
L 998, 1103, -1057, 989, 1109, -1057, 0, 0, 0
L 766, 1034, -1057, 784, 1061, -1057, 150, 150, 150
L 877, 1047, -1057, 877, 1086, -1057, 0, 0, 0
L 877, 1086, -1057, 979, 1083, -1057, 0, 0, 0
L 785, 975, -1057, 794, 981, -1057, 0, 0, 0
L 794, 1087, -1057, 785, 1092, -1057, 0, 0, 0
L 725, 1023, -1057, 646, 1023, -1057, 150, 150, 150
L 816, 1008, -1057, 783, 1006, -1057, 150, 150, 150
L 725, 933, -1057, 725, 1023, -1057, 150, 150, 150
L 790, 1019, -1057, 806, 1020, -1057, 150, 150, 150
L 972, 1078, -1057, 884, 1078, -1057, 0, 0, 0
L 1007, 960, -1057, 1008, 950, -1057, 0, 0, 0
L 725, 1046, -1057, 726, 1136, -1057, 150, 150, 150
L 794, 1108, -1057, 803, 1103, -1057, 0, 0, 0
L 979, 1083, -1057, 979, 983, -1057, 0, 0, 0
L 998, 965, -1057, 1007, 960, -1057, 0, 0, 0
L 806, 1020, -1057, 815, 1034, -1057, 150, 150, 150
L 794, 981, -1057, 803, 976, -1057, 0, 0, 0
L 877, 1021, -1057, 883, 1022, -1057, 0, 0, 0
L 803, 1103, -1057, 804, 1092, -1057, 0, 0, 0
L 1028, 934, -1057, 725, 933, -1057, 150, 150, 150
L 726, 1136, -1057, 1028, 1132, -1057, 150, 150, 150
L 1008, 950, -1057, 999, 944, -1057, 0, 0, 0
L 989, 948, -1057, 989, 960, -1057, 0, 0, 0
L 784, 1061, -1057, 815, 1063, -1057, 150, 150, 150
L 884, 1078, -1057, 884, 1047, -1057, 0, 0, 0
L 815, 1063, -1057, 830, 1033, -1057, 150, 150, 150
L 794, 959, -1057, 785, 964, -1057, 0, 0, 0
L 1008, 1109, -1057, 998, 1103, -1057, 0, 0, 0
L 1028, 1132, -1057, 1028, 934, -1057, 150, 150, 150
L 815, 1034, -1057, 808, 1049, -1057, 150, 150, 150
L 972, 990, -1057, 972, 1078, -1057, 0, 0, 0
L 785, 1103, -1057, 794, 1108, -1057, 0, 0, 0
L 830, 1033, -1057, 816, 1008, -1057, 150, 150, 150
L 808, 1049, -1057, 791, 1049, -1057, 150, 150, 150
L 979, 983, -1057, 878, 983, -1057, 0, 0, 0
L 878, 983, -1057, 877, 1021, -1057, 0, 0, 0
L 998, 1125, -1057, 1007, 1119, -1057, 0, 0, 0
L 783, 1006, -1057, 767, 1034, -1057, 150, 150, 150
L 884, 1047, -1057, 877, 1047, -1057, 0, 0, 0
L 791, 1049, -1057, 782, 1035, -1057, 150, 150, 150
L 883, 1022, -1057, 884, 990, -1057, 0, 0, 0
L 785, 964, -1057, 785, 975, -1057, 0, 0, 0
L 999, 944, -1057, 989, 948, -1057, 0, 0, 0
L 803, 976, -1057, 804, 965, -1057, 0, 0, 0
L 989, 1109, -1057, 989, 1119, -1057, 0, 0, 0
L 1007, 1119, -1057, 1008, 1109, -1057, 0, 0, 0
L 785, 1092, -1057, 785, 1103, -1057, 0, 0, 0
L 989, 1119, -1057, 998, 1125, -1057, 0, 0, 0
L 1485, 340, -1239, 1549, 304, -1239, 150, 150, 150
L 1423, 232, -1239, 1423, 257, -1239, 150, 150, 150
L 1411, 277, -1239, 1423, 277, -1239, 150, 150, 150
L 1423, 304, -1239, 1485, 340, -1239, 150, 150, 150
L 1549, 304, -1239, 1549, 233, -1239, 150, 150, 150
L 1549, 233, -1239, 1486, 195, -1239, 150, 150, 150
L 1486, 195, -1239, 1423, 232, -1239, 150, 150, 150
L 1423, 257, -1239, 1417, 256, -1239, 150, 150, 150
L 1423, 277, -1239, 1423, 304, -1239, 150, 150, 150
L 1436, 262, -1239, 1436, 240, -1239, 150, 150, 150
L 1471, 268, -1239, 1480, 282, -1239, 150, 150, 150
L 1433, 301, -1239, 1486, 331, -1239, 150, 150, 150
L 1436, 240, -1239, 1486, 212, -1239, 150, 150, 150
L 1486, 331, -1239, 1540, 300, -1239, 150, 150, 150
L 1486, 212, -1239, 1535, 240, -1239, 150, 150, 150
L 1496, 282, -1239, 1505, 268, -1239, 150, 150, 150
L 1496, 253, -1239, 1480, 253, -1239, 150, 150, 150
L 1485, 206, -1239, 1431, 238, -1239, 150, 150, 150
L 1436, 274, -1239, 1432, 274, -1239, 150, 150, 150
L 1535, 240, -1239, 1535, 297, -1239, 150, 150, 150
L 1486, 326, -1239, 1436, 297, -1239, 150, 150, 150
L 1432, 262, -1239, 1436, 262, -1239, 150, 150, 150
L 1480, 253, -1239, 1471, 267, -1239, 150, 150, 150
L 1480, 282, -1239, 1496, 282, -1239, 150, 150, 150
L 1432, 274, -1239, 1433, 301, -1239, 150, 150, 150
L 1535, 297, -1239, 1486, 326, -1239, 150, 150, 150
L 1540, 300, -1239, 1540, 237, -1239, 150, 150, 150
L 1540, 237, -1239, 1485, 206, -1239, 150, 150, 150
L 1505, 268, -1239, 1496, 253, -1239, 150, 150, 150
L 1436, 297, -1239, 1436, 274, -1239, 150, 150, 150
L 1431, 238, -1239, 1432, 262, -1239, 150, 150, 150
L 1268, 399, -1247, 1315, 461, -1247, 0, 0, 0
L 1317, 738, -1093, 1346, 747, -1093, 150, 150, 150
L 1346, 747, -1093, 1371, 726, -1093, 150, 150, 150
L 1371, 726, -1093, 1364, 694, -1093, 150, 150, 150
L 1310, 706, -1093, 1317, 737, -1093, 150, 150, 150
L 1327, 728, -1093, 1344, 734, -1093, 150, 150, 150
L 1344, 734, -1093, 1357, 721, -1093, 150, 150, 150
L 1364, 694, -1093, 1333, 685, -1093, 150, 150, 150
L 1333, 685, -1093, 1310, 706, -1093, 150, 150, 150
L 1353, 704, -1093, 1336, 698, -1093, 150, 150, 150
L 1336, 698, -1093, 1323, 710, -1093, 150, 150, 150
L 1323, 710, -1093, 1327, 728, -1093, 150, 150, 150
L 1357, 721, -1093, 1353, 704, -1093, 150, 150, 150
