P -200, -100, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P -200, -300, 0, 0, 0, 0, 2, http://www.eqmaps.info
P -200, -500, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
L 51, -393, 12, 51, -389, 10, 0, 255, 0
L 38, -393, 12, 51, -393, 12, 127, 127, 127
L -54, -397, 14, -52, -397, 14, 0, 255, 0
L -63, -397, 14, -65, -397, 14, 0, 255, 0
L -65, -397, 14, -65, -393, 12, 0, 255, 0
L -52, -397, 14, -52, -393, 12, 0, 255, 0
L -65, -366, 0, -52, -366, 0, 127, 127, 127
L -65, -381, 7, -65, -377, 5, 0, 255, 0
L -52, -381, 7, -52, -377, 5, 0, 255, 0
L -65, -381, 7, -52, -381, 7, 127, 127, 127
L -65, -389, 10, -65, -385, 8, 0, 255, 0
L -52, -389, 10, -52, -385, 8, 0, 255, 0
L -65, -389, 10, -52, -389, 10, 127, 127, 127
L -65, -373, 3, -65, -369, 1, 0, 255, 0
L -52, -373, 3, -52, -369, 1, 0, 255, 0
L -65, -373, 3, -52, -373, 3, 127, 127, 127
L -65, -377, 5, -65, -373, 3, 0, 255, 0
L -52, -377, 5, -52, -373, 3, 0, 255, 0
L -65, -377, 5, -52, -377, 5, 127, 127, 127
L -65, -369, 1, -65, -366, 0, 0, 255, 0
L -52, -369, 1, -52, -366, 0, 0, 255, 0
L -65, -369, 1, -52, -369, 1, 127, 127, 127
L -65, -385, 8, -65, -381, 7, 0, 255, 0
L -52, -385, 8, -52, -381, 7, 0, 255, 0
L -65, -385, 8, -52, -385, 8, 127, 127, 127
L -65, -393, 12, -65, -389, 10, 0, 255, 0
L -52, -393, 12, -52, -389, 10, 0, 255, 0
L -65, -393, 12, -52, -393, 12, 127, 127, 127
L 0, -595, 4, -13, -595, 4, 127, 127, 127
L 0, -558, 16, -13, -558, 16, 127, 127, 127
L 0, -576, 10, 0, -581, 8, 0, 0, 0
L -13, -576, 10, -13, -571, 11, 0, 0, 0
L 0, -576, 10, -13, -576, 10, 127, 127, 127
L 0, -585, 7, 0, -590, 5, 0, 0, 0
L -13, -585, 7, -13, -581, 8, 0, 0, 0
L 0, -585, 7, -13, -585, 7, 127, 127, 127
L 0, -590, 5, 0, -595, 4, 0, 0, 0
L -13, -590, 5, -13, -585, 7, 0, 0, 0
L 0, -590, 5, -13, -590, 5, 127, 127, 127
L 0, -567, 13, 0, -571, 11, 0, 0, 0
L -13, -567, 13, -13, -562, 14, 0, 0, 0
L 0, -567, 13, -13, -567, 13, 127, 127, 127
L 0, -571, 11, 0, -576, 10, 0, 0, 0
L -13, -571, 11, -13, -567, 13, 0, 0, 0
L 0, -571, 11, -13, -571, 11, 127, 127, 127
L 0, -562, 14, 0, -567, 13, 0, 0, 0
L -13, -562, 14, -13, -558, 16, 0, 0, 0
L 0, -562, 14, -13, -562, 14, 127, 127, 127
L 0, -581, 8, 0, -585, 7, 0, 0, 0
L -13, -581, 8, -13, -576, 10, 0, 0, 0
L 0, -581, 8, -13, -581, 8, 127, 127, 127
L 0, -595, 4, 2, -595, 4, 0, 0, 0
L 2, -598, 4, 2, -595, 4, 0, 0, 0
L 2, -598, 4, 2, -609, 4, 127, 127, 127
L -13, -611, 4, 2, -611, 4, 0, 0, 0
L 2, -609, 4, 2, -611, 4, 0, 0, 0
L 42, -598, -7, 44, -598, -7, 0, 0, 0
L 42, -598, -7, 42, -609, -7, 127, 127, 127
L 42, -609, -7, 42, -611, -7, 0, 0, 0
L 42, -609, -7, 37, -609, -5, 0, 0, 0
L 42, -598, -7, 37, -598, -5, 0, 0, 0
L 22, -598, -1, 17, -598, 0, 0, 0, 0
L 22, -609, -1, 17, -609, 0, 0, 0, 0
L 22, -598, -1, 22, -609, -1, 127, 127, 127
L 12, -598, 1, 7, -598, 2, 0, 0, 0
L 12, -609, 1, 7, -609, 2, 0, 0, 0
L 12, -598, 1, 12, -609, 1, 127, 127, 127
L 32, -598, -4, 27, -598, -2, 0, 0, 0
L 32, -609, -4, 27, -609, -2, 0, 0, 0
L 32, -598, -4, 32, -609, -4, 127, 127, 127
L 37, -598, -5, 32, -598, -4, 0, 0, 0
L 37, -609, -5, 32, -609, -4, 0, 0, 0
L 37, -598, -5, 37, -609, -5, 127, 127, 127
L 17, -598, 0, 12, -598, 1, 0, 0, 0
L 17, -609, 0, 12, -609, 1, 0, 0, 0
L 17, -598, 0, 17, -609, 0, 127, 127, 127
L 7, -598, 2, 2, -598, 4, 0, 0, 0
L 7, -609, 2, 2, -609, 4, 0, 0, 0
L 7, -598, 2, 7, -609, 2, 127, 127, 127
L 27, -598, -2, 22, -598, -1, 0, 0, 0
L 27, -609, -2, 22, -609, -1, 0, 0, 0
L 27, -598, -2, 27, -609, -2, 127, 127, 127
L 44, -594, -7, 55, -594, -7, 127, 127, 127
L 55, -611, -7, 55, -594, -7, 0, 0, 0
L 55, -594, -7, 55, -590, -8, 221, 160, 221
L 55, -558, -19, 42, -558, -19, 127, 127, 127
L 42, -576, -13, 42, -571, -14, 221, 160, 221
L 55, -576, -13, 55, -571, -14, 221, 160, 221
L 42, -576, -13, 55, -576, -13, 127, 127, 127
L 42, -585, -10, 42, -581, -11, 221, 160, 221
L 55, -585, -10, 55, -581, -11, 221, 160, 221
L 42, -585, -10, 55, -585, -10, 127, 127, 127
L 42, -567, -16, 42, -562, -17, 221, 160, 221
L 55, -567, -16, 55, -562, -17, 221, 160, 221
L 42, -567, -16, 55, -567, -16, 127, 127, 127
L 42, -562, -17, 42, -558, -19, 221, 160, 221
L 55, -562, -17, 55, -558, -19, 221, 160, 221
L 42, -562, -17, 55, -562, -17, 127, 127, 127
L 42, -571, -14, 42, -567, -16, 221, 160, 221
L 55, -571, -14, 55, -567, -16, 221, 160, 221
L 42, -571, -14, 55, -571, -14, 127, 127, 127
L 42, -581, -11, 42, -576, -13, 221, 160, 221
L 55, -581, -11, 55, -576, -13, 221, 160, 221
L 42, -581, -11, 55, -581, -11, 127, 127, 127
L 42, -590, -8, 42, -585, -10, 221, 160, 221
L 55, -590, -8, 55, -585, -10, 221, 160, 221
L 42, -590, -8, 55, -590, -8, 127, 127, 127
L 39, -553, -19, 39, -542, -19, 127, 127, 127
L 13, -397, 14, 11, -397, 14, 0, 255, 0
L 22, -397, 14, 24, -397, 14, 0, 255, 0
L 13, -366, 28, 11, -366, 28, 0, 255, 255
L 22, -366, 28, 24, -366, 28, 0, 255, 255
L 11, -366, 28, 11, -369, 26, 0, 255, 255
L 24, -366, 28, 24, -369, 26, 0, 255, 255
L 13, -366, 28, 22, -366, 28, 127, 127, 127
L 24, -381, 21, 24, -385, 19, 0, 255, 255
L 11, -381, 21, 11, -385, 19, 0, 255, 255
L 24, -381, 21, 11, -381, 21, 127, 127, 127
L 24, -373, 24, 24, -377, 22, 0, 255, 255
L 11, -373, 24, 11, -377, 22, 0, 255, 255
L 24, -373, 24, 11, -373, 24, 127, 127, 127
L 24, -377, 22, 24, -381, 21, 0, 255, 255
L 11, -377, 22, 11, -381, 21, 0, 255, 255
L 24, -377, 22, 11, -377, 22, 127, 127, 127
L 24, -389, 17, 24, -393, 15, 0, 255, 255
L 11, -389, 17, 11, -393, 15, 0, 255, 255
L 24, -389, 17, 11, -389, 17, 127, 127, 127
L 24, -393, 15, 24, -397, 14, 0, 255, 255
L 11, -393, 15, 11, -397, 14, 0, 255, 255
L 24, -393, 15, 11, -393, 15, 127, 127, 127
L 24, -385, 19, 24, -389, 17, 0, 255, 255
L 11, -385, 19, 11, -389, 17, 0, 255, 255
L 24, -385, 19, 11, -385, 19, 127, 127, 127
L 24, -369, 26, 24, -373, 24, 0, 255, 255
L 11, -369, 26, 11, -373, 24, 0, 255, 255
L 24, -369, 26, 11, -369, 26, 127, 127, 127
L -36, -366, 28, -38, -366, 28, 0, 255, 255
L -27, -366, 28, -25, -366, 28, 0, 255, 255
L -27, -397, 14, -25, -397, 14, 0, 255, 0
L -36, -397, 14, -38, -397, 14, 0, 255, 0
L -38, -366, 28, -38, -369, 26, 0, 255, 255
L -25, -366, 28, -25, -369, 26, 0, 255, 255
L -25, -381, 21, -25, -385, 19, 0, 255, 255
L -38, -381, 21, -38, -385, 19, 0, 255, 255
L -25, -381, 21, -38, -381, 21, 127, 127, 127
L -27, -366, 28, -36, -366, 28, 127, 127, 127
L -25, -373, 24, -25, -377, 22, 0, 255, 255
L -38, -373, 24, -38, -377, 22, 0, 255, 255
L -25, -373, 24, -38, -373, 24, 127, 127, 127
L -25, -389, 17, -25, -393, 15, 0, 255, 255
L -38, -389, 17, -38, -393, 15, 0, 255, 255
L -25, -389, 17, -38, -389, 17, 127, 127, 127
L -25, -385, 19, -25, -389, 17, 0, 255, 255
L -38, -385, 19, -38, -389, 17, 0, 255, 255
L -25, -385, 19, -38, -385, 19, 127, 127, 127
L -25, -377, 22, -25, -381, 21, 0, 255, 255
L -38, -377, 22, -38, -381, 21, 0, 255, 255
L -25, -377, 22, -38, -377, 22, 127, 127, 127
L -25, -369, 26, -25, -373, 24, 0, 255, 255
L -38, -369, 26, -38, -373, 24, 0, 255, 255
L -25, -369, 26, -38, -369, 26, 127, 127, 127
L -25, -393, 15, -25, -397, 14, 0, 255, 255
L -38, -393, 15, -38, -397, 14, 0, 255, 255
L -25, -393, 15, -38, -393, 15, 127, 127, 127
L -80, -337, 14, -73, -337, 14, 127, 127, 127
L -73, -312, 28, -73, -321, 28, 0, 255, 255
L -80, -321, 28, -73, -321, 28, 127, 127, 127
L -80, -337, 14, -80, -335, 15, 0, 255, 255
L -73, -337, 14, -73, -335, 15, 0, 255, 255
L -73, -329, 21, -73, -327, 22, 0, 255, 255
L -80, -329, 21, -80, -327, 22, 0, 255, 255
L -73, -329, 21, -80, -329, 21, 127, 127, 127
L -73, -325, 24, -73, -323, 26, 0, 255, 255
L -80, -325, 24, -80, -323, 26, 0, 255, 255
L -73, -325, 24, -80, -325, 24, 127, 127, 127
L -73, -323, 26, -73, -321, 28, 0, 255, 255
L -80, -323, 26, -80, -321, 28, 0, 255, 255
L -73, -323, 26, -80, -323, 26, 127, 127, 127
L -73, -327, 22, -73, -325, 24, 0, 255, 255
L -80, -327, 22, -80, -325, 24, 0, 255, 255
L -73, -327, 22, -80, -327, 22, 127, 127, 127
L -73, -333, 17, -73, -331, 19, 0, 255, 255
L -80, -333, 17, -80, -331, 19, 0, 255, 255
L -73, -333, 17, -80, -333, 17, 127, 127, 127
L -73, -331, 19, -73, -329, 21, 0, 255, 255
L -80, -331, 19, -80, -329, 21, 0, 255, 255
L -73, -331, 19, -80, -331, 19, 127, 127, 127
L -73, -335, 15, -73, -333, 17, 0, 255, 255
L -80, -335, 15, -80, -333, 17, 0, 255, 255
L -73, -335, 15, -80, -335, 15, 127, 127, 127
L 0, -518, 16, -12, -518, 16, 240, 127, 0
L 3, -310, 0, -17, -310, 0, 205, 133, 63
L 3, -305, 0, -17, -305, 0, 205, 133, 63
L 3, -305, 0, 3, -307, 0, 205, 133, 63
L -17, -310, 0, -17, -307, 0, 205, 133, 63
L -28, -307, 0, -28, -310, 0, 0, 0, 0
L 14, -307, 0, 14, -310, 0, 0, 0, 0
L -28, -307, 0, -17, -307, 0, 205, 133, 63
L 3, -307, 0, 3, -310, 0, 205, 133, 63
L -17, -307, 0, -17, -305, 0, 205, 133, 63
L 3, -307, 0, 14, -307, 0, 205, 133, 63
L -35, -320, 0, -35, -316, 0, 205, 133, 63
L -32, -320, 0, -32, -316, 0, 205, 133, 63
L -35, -320, 0, -33, -320, 0, 205, 133, 63
L -35, -316, 0, -33, -316, 0, 205, 133, 63
L -33, -323, 0, -35, -323, 0, 0, 0, 0
L -33, -314, 0, -35, -314, 0, 0, 0, 0
L -33, -323, 0, -33, -320, 0, 205, 133, 63
L -33, -320, 0, -32, -320, 0, 205, 133, 63
L -33, -316, 0, -32, -316, 0, 205, 133, 63
L -33, -316, 0, -33, -314, 0, 205, 133, 63
L 18, -316, 0, 18, -320, 0, 205, 133, 63
L 21, -320, 0, 21, -316, 0, 205, 133, 63
L 19, -323, 0, 21, -323, 0, 0, 0, 0
L 19, -314, 0, 21, -314, 0, 0, 0, 0
L 19, -323, 0, 19, -320, 0, 205, 133, 63
L 18, -316, 0, 19, -316, 0, 205, 133, 63
L 19, -316, 0, 19, -314, 0, 205, 133, 63
L 19, -316, 0, 21, -316, 0, 205, 133, 63
L 18, -320, 0, 19, -320, 0, 205, 133, 63
L 19, -320, 0, 21, -320, 0, 205, 133, 63
L 56, -329, 28, 60, -329, 28, 205, 133, 63
L 60, -326, 28, 56, -326, 28, 205, 133, 63
L 60, -329, 28, 60, -327, 28, 205, 133, 63
L 56, -329, 28, 56, -327, 28, 205, 133, 63
L 54, -327, 28, 54, -326, 28, 0, 255, 255
L 63, -327, 28, 63, -329, 28, 0, 255, 255
L 54, -327, 28, 56, -327, 28, 205, 133, 63
L 60, -327, 28, 60, -326, 28, 205, 133, 63
L 56, -327, 28, 56, -326, 28, 205, 133, 63
L 60, -327, 28, 63, -327, 28, 205, 133, 63
L 21, -350, 0, 25, -350, 0, 205, 133, 63
L 25, -347, 0, 21, -347, 0, 205, 133, 63
L 28, -348, 0, 28, -347, 0, 0, 0, 0
L 19, -348, 0, 19, -347, 0, 0, 0, 0
L 28, -348, 0, 25, -348, 0, 205, 133, 63
L 21, -350, 0, 21, -348, 0, 205, 133, 63
L 21, -348, 0, 19, -348, 0, 205, 133, 63
L 21, -348, 0, 21, -347, 0, 205, 133, 63
L 25, -350, 0, 25, -348, 0, 205, 133, 63
L 25, -348, 0, 25, -347, 0, 205, 133, 63
L -39, -350, 0, -35, -350, 0, 205, 133, 63
L -35, -347, 0, -39, -347, 0, 205, 133, 63
L -33, -348, 0, -33, -347, 0, 0, 0, 0
L -42, -348, 0, -42, -347, 0, 0, 0, 0
L -33, -348, 0, -35, -348, 0, 205, 133, 63
L -39, -350, 0, -39, -348, 0, 205, 133, 63
L -39, -348, 0, -42, -348, 0, 205, 133, 63
L -39, -348, 0, -39, -347, 0, 205, 133, 63
L -35, -350, 0, -35, -348, 0, 205, 133, 63
L -35, -348, 0, -35, -347, 0, 205, 133, 63
L -52, -358, 0, -52, -352, 0, 205, 133, 63
L -49, -358, 0, -49, -352, 0, 205, 133, 63
L -50, -361, 0, -49, -361, 0, 0, 0, 0
L -50, -361, 0, -50, -358, 0, 205, 133, 63
L -52, -352, 0, -50, -352, 0, 205, 133, 63
L -50, -352, 0, -50, -350, 0, 205, 133, 63
L -50, -352, 0, -49, -352, 0, 205, 133, 63
L -52, -358, 0, -50, -358, 0, 205, 133, 63
L -50, -358, 0, -49, -358, 0, 205, 133, 63
L -23, -380, 0, -23, -373, 0, 0, 0, 0
L -23, -381, 0, -23, -380, 0, 0, 0, 0
L -26, -383, 0, -26, -387, 0, 205, 133, 63
L -23, -387, 0, -23, -383, 0, 205, 133, 63
L -24, -381, 0, -23, -381, 0, 0, 0, 0
L -24, -390, 0, -23, -390, 0, 0, 0, 0
L -24, -381, 0, -24, -383, 0, 205, 133, 63
L -23, -387, 0, -24, -387, 0, 205, 133, 63
L -24, -387, 0, -24, -390, 0, 205, 133, 63
L -24, -387, 0, -26, -387, 0, 205, 133, 63
L -23, -383, 0, -24, -383, 0, 205, 133, 63
L -24, -383, 0, -26, -383, 0, 205, 133, 63
L 9, -383, 0, 9, -387, 0, 205, 133, 63
L 12, -387, 0, 12, -383, 0, 205, 133, 63
L 10, -390, 0, 12, -390, 0, 0, 0, 0
L 10, -381, 0, 12, -381, 0, 0, 0, 0
L 10, -390, 0, 10, -387, 0, 205, 133, 63
L 12, -383, 0, 10, -383, 0, 205, 133, 63
L 10, -383, 0, 10, -381, 0, 205, 133, 63
L 10, -383, 0, 9, -383, 0, 205, 133, 63
L 12, -387, 0, 10, -387, 0, 205, 133, 63
L 10, -387, 0, 9, -387, 0, 205, 133, 63
L 35, -358, 0, 35, -352, 0, 205, 133, 63
L 38, -358, 0, 38, -352, 0, 205, 133, 63
L 36, -361, 0, 38, -361, 0, 0, 0, 0
L 36, -361, 0, 36, -358, 0, 205, 133, 63
L 35, -352, 0, 36, -352, 0, 205, 133, 63
L 36, -352, 0, 36, -350, 0, 205, 133, 63
L 36, -352, 0, 38, -352, 0, 205, 133, 63
L 35, -358, 0, 36, -358, 0, 205, 133, 63
L 36, -358, 0, 38, -358, 0, 205, 133, 63
L -54, -398, 14, -54, -400, 14, 0, 255, 0
L -63, -398, 14, -63, -397, 14, 0, 255, 0
L -54, -398, 14, -56, -398, 14, 205, 133, 63
L -60, -397, 14, -56, -397, 14, 205, 133, 63
L -60, -400, 14, -56, -400, 14, 205, 133, 63
L -56, -397, 14, -56, -398, 14, 205, 133, 63
L -56, -398, 14, -56, -400, 14, 205, 133, 63
L -60, -397, 14, -60, -398, 14, 205, 133, 63
L -60, -398, 14, -63, -398, 14, 205, 133, 63
L -60, -398, 14, -60, -400, 14, 205, 133, 63
L -29, -400, 14, -33, -400, 14, 205, 133, 63
L -29, -397, 14, -33, -397, 14, 205, 133, 63
L -29, -400, 14, -29, -398, 14, 205, 133, 63
L -33, -400, 14, -33, -398, 14, 205, 133, 63
L -36, -398, 14, -36, -397, 14, 0, 255, 0
L -27, -398, 14, -27, -397, 14, 0, 255, 0
L -36, -398, 14, -33, -398, 14, 205, 133, 63
L -29, -398, 14, -29, -397, 14, 205, 133, 63
L -33, -398, 14, -33, -397, 14, 205, 133, 63
L -29, -398, 14, -27, -398, 14, 205, 133, 63
L 22, -398, 14, 22, -397, 14, 0, 255, 0
L 13, -398, 14, 13, -397, 14, 0, 255, 0
L 22, -398, 14, 19, -398, 14, 205, 133, 63
L 15, -397, 14, 19, -397, 14, 205, 133, 63
L 19, -400, 14, 15, -400, 14, 205, 133, 63
L 19, -397, 14, 19, -398, 14, 205, 133, 63
L 19, -398, 14, 19, -400, 14, 205, 133, 63
L 15, -397, 14, 15, -398, 14, 205, 133, 63
L 15, -398, 14, 13, -398, 14, 205, 133, 63
L 15, -398, 14, 15, -400, 14, 205, 133, 63
L 49, -398, 14, 49, -397, 14, 0, 255, 0
L 40, -398, 14, 40, -397, 14, 0, 255, 0
L 49, -398, 14, 46, -398, 14, 205, 133, 63
L 42, -397, 14, 46, -397, 14, 205, 133, 63
L 46, -400, 14, 42, -400, 14, 205, 133, 63
L 46, -397, 14, 46, -398, 14, 205, 133, 63
L 46, -398, 14, 46, -400, 14, 205, 133, 63
L 42, -397, 14, 42, -398, 14, 205, 133, 63
L 42, -398, 14, 40, -398, 14, 205, 133, 63
L 42, -398, 14, 42, -400, 14, 205, 133, 63
L -87, -450, 28, -93, -450, 28, 205, 133, 63
L -87, -447, 28, -93, -447, 28, 205, 133, 63
L -85, -448, 28, -85, -450, 28, 0, 255, 255
L -85, -448, 28, -87, -448, 28, 205, 133, 63
L -93, -450, 28, -93, -448, 28, 205, 133, 63
L -93, -448, 28, -96, -448, 28, 205, 133, 63
L -93, -448, 28, -93, -447, 28, 205, 133, 63
L -87, -450, 28, -87, -448, 28, 205, 133, 63
L -87, -448, 28, -87, -447, 28, 205, 133, 63
L 73, -447, 28, 79, -447, 28, 205, 133, 63
L 73, -450, 28, 79, -450, 28, 205, 133, 63
L 73, -447, 28, 73, -448, 28, 205, 133, 63
L 79, -447, 28, 79, -448, 28, 205, 133, 63
L 71, -448, 28, 71, -450, 28, 0, 255, 255
L 71, -448, 28, 73, -448, 28, 205, 133, 63
L 73, -448, 28, 73, -450, 28, 205, 133, 63
L 79, -448, 28, 79, -450, 28, 205, 133, 63
L 79, -448, 28, 82, -448, 28, 205, 133, 63
L 69, -397, 28, 69, -361, 28, 0, 255, 255
L 72, -395, 28, 78, -395, 28, 205, 133, 63
L 72, -400, 28, 78, -400, 28, 205, 133, 63
L 69, -397, 28, 72, -397, 28, 205, 133, 63
L 78, -395, 28, 78, -397, 28, 205, 133, 63
L 78, -397, 28, 82, -397, 28, 205, 133, 63
L 78, -397, 28, 78, -400, 28, 205, 133, 63
L 72, -395, 28, 72, -397, 28, 205, 133, 63
L 72, -397, 28, 72, -400, 28, 205, 133, 63
L 0, -547, 16, 0, -548, 16, 0, 0, 0
L -13, -547, 16, -13, -545, 16, 0, 0, 0
L 0, -547, 16, -13, -547, 16, 255, 255, 0
L 0, -548, 16, 0, -555, 16, 0, 0, 0
L -13, -548, 16, -13, -547, 16, 0, 0, 0
L 0, -548, 16, -13, -548, 16, 255, 255, 0
L -24, -546, 16, -24, -538, 16, 0, 0, 0
L -15, -546, 16, -15, -559, 16, 0, 0, 0
L -21, -548, 16, -17, -548, 16, 205, 133, 63
L -17, -545, 16, -21, -545, 16, 205, 133, 63
L -17, -548, 16, -17, -546, 16, 205, 133, 63
L -21, -548, 16, -21, -546, 16, 205, 133, 63
L -24, -546, 16, -21, -546, 16, 205, 133, 63
L -17, -546, 16, -17, -545, 16, 205, 133, 63
L -21, -546, 16, -21, -545, 16, 205, 133, 63
L -17, -546, 16, -15, -546, 16, 205, 133, 63
L 7, -548, 16, 3, -548, 16, 205, 133, 63
L 3, -545, 16, 7, -545, 16, 205, 133, 63
L 7, -548, 16, 7, -546, 16, 205, 133, 63
L 3, -548, 16, 3, -546, 16, 205, 133, 63
L 1, -546, 16, 1, -545, 16, 0, 0, 0
L 10, -546, 16, 10, -548, 16, 0, 0, 0
L 1, -546, 16, 3, -546, 16, 205, 133, 63
L 7, -546, 16, 7, -545, 16, 205, 133, 63
L 3, -546, 16, 3, -545, 16, 205, 133, 63
L 7, -546, 16, 10, -546, 16, 205, 133, 63
L 10, -531, 16, 10, -535, 16, 205, 133, 63
L 13, -535, 16, 13, -531, 16, 205, 133, 63
L 10, -531, 16, 11, -531, 16, 205, 133, 63
L 13, -535, 16, 11, -535, 16, 205, 133, 63
L 11, -538, 16, 13, -538, 16, 0, 0, 0
L 11, -529, 16, 13, -529, 16, 0, 0, 0
L 11, -538, 16, 11, -535, 16, 205, 133, 63
L 11, -531, 16, 13, -531, 16, 205, 133, 63
L 11, -535, 16, 10, -535, 16, 205, 133, 63
L 11, -531, 16, 11, -529, 16, 205, 133, 63
L -27, -531, 16, -27, -535, 16, 205, 133, 63
L -24, -531, 16, -24, -535, 16, 205, 133, 63
L -25, -538, 16, -27, -538, 16, 0, 0, 0
L -25, -529, 16, -27, -529, 16, 0, 0, 0
L -25, -538, 16, -25, -535, 16, 205, 133, 63
L -27, -535, 16, -25, -535, 16, 205, 133, 63
L -25, -535, 16, -24, -535, 16, 205, 133, 63
L -24, -531, 16, -25, -531, 16, 205, 133, 63
L -25, -531, 16, -25, -529, 16, 205, 133, 63
L -25, -531, 16, -27, -531, 16, 205, 133, 63
L -27, -540, 16, -44, -540, 16, 0, 255, 255
L -44, -527, 16, -27, -527, 16, 0, 255, 255
L -80, -540, 28, -77, -540, 27, 0, 255, 255
L -47, -540, 17, -44, -540, 16, 0, 255, 255
L -50, -540, 18, -47, -540, 17, 0, 255, 255
L -53, -540, 19, -50, -540, 18, 0, 255, 255
L -56, -540, 20, -53, -540, 19, 0, 255, 255
L -59, -540, 21, -56, -540, 20, 0, 255, 255
L -62, -540, 22, -59, -540, 21, 0, 255, 255
L -65, -540, 23, -62, -540, 22, 0, 255, 255
L -68, -540, 24, -65, -540, 23, 0, 255, 255
L -71, -540, 25, -68, -540, 24, 0, 255, 255
L -74, -540, 26, -71, -540, 25, 0, 255, 255
L -77, -540, 27, -74, -540, 26, 0, 255, 255
L -44, -527, 16, -47, -527, 17, 0, 255, 255
L -47, -527, 17, -50, -527, 18, 0, 255, 255
L -50, -527, 18, -53, -527, 19, 0, 255, 255
L -53, -527, 19, -56, -527, 20, 0, 255, 255
L -56, -527, 20, -59, -527, 21, 0, 255, 255
L -59, -527, 21, -62, -527, 22, 0, 255, 255
L -62, -527, 22, -65, -527, 23, 0, 255, 255
L -65, -527, 23, -68, -527, 24, 0, 255, 255
L -68, -527, 24, -71, -527, 25, 0, 255, 255
L -71, -527, 25, -74, -527, 26, 0, 255, 255
L -74, -527, 26, -77, -527, 27, 0, 255, 255
L -77, -527, 27, -80, -527, 28, 0, 255, 255
L 66, -538, 28, 69, -538, 28, 0, 255, 255
L 69, -538, 28, 69, -540, 28, 0, 255, 255
L -80, -529, 28, -83, -529, 28, 0, 255, 255
L -80, -538, 28, -80, -540, 28, 0, 255, 255
L -83, -538, 28, -83, -540, 28, 0, 255, 255
L -80, -538, 28, -83, -538, 28, 0, 255, 255
L 13, -540, 16, 30, -540, 16, 0, 255, 255
L 13, -527, 16, 30, -527, 16, 0, 255, 255
L 66, -540, 28, 30, -540, 16, 0, 255, 255
L 30, -527, 16, 66, -527, 28, 0, 255, 255
L 71, -493, 28, 71, -494, 28, 0, 255, 255
L 82, -540, 28, 69, -540, 28, 0, 255, 255
L 80, -493, 28, 80, -494, 28, 0, 255, 255
L -94, -493, 28, -94, -494, 28, 0, 255, 255
L -83, -540, 28, -96, -540, 28, 0, 255, 255
L -85, -493, 28, -85, -494, 28, 0, 255, 255
L -96, -540, 28, -96, -518, 28, 0, 255, 255
L 82, -540, 28, 82, -518, 28, 0, 255, 255
L 82, -518, 28, 80, -518, 28, 0, 255, 255
L 71, -518, 28, 69, -518, 28, 0, 255, 255
L 69, -529, 28, 69, -518, 28, 0, 255, 255
L -83, -529, 28, -83, -518, 28, 0, 255, 255
L -83, -518, 28, -85, -518, 28, 0, 255, 255
L -94, -518, 28, -96, -518, 28, 0, 255, 255
L -94, -516, 28, -94, -518, 28, 0, 255, 255
L -85, -516, 28, -85, -518, 28, 0, 255, 255
L -94, -516, 28, -91, -516, 28, 205, 133, 63
L -87, -515, 28, -91, -515, 28, 205, 133, 63
L -87, -518, 28, -91, -518, 28, 205, 133, 63
L -91, -515, 28, -91, -516, 28, 205, 133, 63
L -91, -516, 28, -91, -518, 28, 205, 133, 63
L -87, -515, 28, -87, -516, 28, 205, 133, 63
L -87, -516, 28, -85, -516, 28, 205, 133, 63
L -87, -516, 28, -87, -518, 28, 205, 133, 63
L 77, -518, 28, 73, -518, 28, 205, 133, 63
L 77, -515, 28, 73, -515, 28, 205, 133, 63
L 71, -516, 28, 71, -518, 28, 0, 255, 255
L 80, -516, 28, 80, -518, 28, 0, 255, 255
L 71, -516, 28, 73, -516, 28, 205, 133, 63
L 77, -515, 28, 77, -516, 28, 205, 133, 63
L 77, -516, 28, 80, -516, 28, 205, 133, 63
L 77, -516, 28, 77, -518, 28, 205, 133, 63
L 73, -515, 28, 73, -516, 28, 205, 133, 63
L 73, -516, 28, 73, -518, 28, 205, 133, 63
L 80, -494, 28, 80, -516, 28, 0, 255, 255
L 71, -494, 28, 71, -516, 28, 0, 255, 255
L -85, -494, 28, -85, -516, 28, 0, 255, 255
L -94, -494, 28, -94, -516, 28, 0, 255, 255
L -87, -496, 28, -91, -496, 28, 205, 133, 63
L -91, -493, 28, -87, -493, 28, 205, 133, 63
L -94, -494, 28, -91, -494, 28, 205, 133, 63
L -87, -493, 28, -87, -494, 28, 205, 133, 63
L -87, -494, 28, -85, -494, 28, 205, 133, 63
L -87, -494, 28, -87, -496, 28, 205, 133, 63
L -91, -493, 28, -91, -494, 28, 205, 133, 63
L -91, -494, 28, -91, -496, 28, 205, 133, 63
L 71, -494, 28, 73, -494, 28, 205, 133, 63
L 73, -493, 28, 77, -493, 28, 205, 133, 63
L 73, -496, 28, 77, -496, 28, 205, 133, 63
L 73, -493, 28, 73, -494, 28, 205, 133, 63
L 73, -494, 28, 73, -496, 28, 205, 133, 63
L 77, -493, 28, 77, -494, 28, 205, 133, 63
L 77, -494, 28, 80, -494, 28, 205, 133, 63
L 77, -494, 28, 77, -496, 28, 205, 133, 63
L -57, -350, 28, -70, -350, 28, 0, 255, 255
