P 201, 119, 41, 0, 0, 0, 2, Chatterbones
L 200.0, 223.3, 31.3, 200.0, 212.0, 31.3, 150, 150, 150
L 192.7, 183.9, 42.4, 192.7, 195.3, 42.4, 150, 150, 150
L 192.7, 183.9, 27.6, 202.4, 183.9, 27.6, 204, 0, 204
L 202.4, 183.9, 27.6, 200.0, 183.9, 31.3, 204, 0, 204
L 200.0, 183.9, 31.3, 200.0, 195.3, 31.3, 150, 150, 150
L 192.7, 195.3, 42.4, 191.2, 195.3, 42.4, 150, 150, 150
L 200.0, 195.3, 31.3, 197.6, 195.3, 35.0, 204, 0, 204
L 192.7, 199.8, 27.6, 192.7, 195.3, 27.6, 204, 0, 204
L 197.6, 195.3, 35.0, 195.1, 195.3, 38.7, 204, 0, 204
L 195.1, 195.3, 38.7, 192.7, 195.3, 42.4, 204, 0, 204
L 197.5, 183.9, 35.0, 197.6, 195.3, 35.0, 150, 150, 150
L 192.7, 195.3, 27.6, 202.4, 195.3, 27.6, 204, 0, 204
L 202.4, 195.3, 27.6, 200.0, 195.3, 31.3, 204, 0, 204
L 197.5, 183.9, 35.0, 195.1, 183.9, 38.7, 204, 0, 204
L 195.1, 183.9, 38.7, 195.1, 195.3, 38.7, 150, 150, 150
L 200.0, 183.9, 31.3, 197.5, 183.9, 35.0, 204, 0, 204
L 202.4, 195.3, 27.6, 202.4, 183.9, 27.6, 150, 150, 150
L 192.7, 183.9, 42.4, 191.2, 183.9, 42.4, 150, 150, 150
L 195.1, 183.9, 38.7, 192.7, 183.9, 42.4, 204, 0, 204
L 191.2, 179.2, 42.4, 191.2, 183.9, 42.4, 150, 150, 150
L 191.2, 195.3, 42.4, 191.2, 212.0, 42.4, 150, 150, 150
L 29.6, 231.8, 49.2, 27.1, 231.8, 52.9, 0, 204, 0
L 27.1, 231.8, 52.9, 24.7, 231.8, 56.6, 0, 204, 0
L 29.6, 220.4, 49.2, 29.6, 231.8, 49.2, 150, 150, 150
L 32.0, 220.4, 45.5, 32.0, 231.8, 45.5, 150, 150, 150
L 29.6, 220.4, 49.2, 27.1, 220.4, 52.9, 0, 204, 0
L 34.4, 220.4, 41.8, 32.0, 220.4, 45.5, 0, 204, 0
L 32.0, 231.8, 45.5, 29.6, 231.8, 49.2, 0, 204, 0
L 27.1, 220.4, 52.9, 27.1, 231.8, 52.9, 150, 150, 150
L 34.4, 231.8, 41.8, 32.0, 231.8, 45.5, 0, 204, 0
L 32.0, 220.4, 45.5, 29.6, 220.4, 49.2, 0, 204, 0
L 24.7, 220.4, 56.6, 24.7, 231.8, 56.6, 150, 150, 150
L 34.4, 231.8, 41.8, 34.4, 220.4, 41.8, 150, 150, 150
L 27.1, 220.4, 52.9, 24.7, 220.4, 56.6, 0, 204, 0
L 34.4, 186.8, 41.8, 32.0, 186.8, 45.5, 0, 204, 0
L 24.7, 175.4, 56.6, 24.7, 186.8, 56.6, 150, 150, 150
L 34.4, 186.8, 41.8, 34.4, 175.4, 41.8, 150, 150, 150
L 32.0, 175.4, 45.5, 29.6, 175.4, 49.2, 0, 204, 0
L 27.1, 175.4, 52.9, 24.7, 175.4, 56.6, 0, 204, 0
L 34.4, 175.4, 41.8, 32.0, 175.4, 45.5, 0, 204, 0
L 32.0, 186.8, 45.5, 29.6, 186.8, 49.2, 0, 204, 0
L 29.6, 175.4, 49.2, 27.1, 175.4, 52.9, 0, 204, 0
L 27.1, 175.4, 52.9, 27.1, 186.8, 52.9, 150, 150, 150
L 24.7, 186.8, 41.8, 34.4, 186.8, 41.8, 0, 0, 0
L 27.1, 186.8, 52.9, 24.7, 186.8, 56.6, 0, 204, 0
L 29.6, 175.4, 49.2, 29.6, 186.8, 49.2, 150, 150, 150
L 29.6, 186.8, 49.2, 27.1, 186.8, 52.9, 0, 204, 0
L 32.0, 175.4, 45.5, 32.0, 186.8, 45.5, 150, 150, 150
L 34.4, 175.4, 41.8, 24.7, 175.4, 41.8, 0, 0, 0
L 24.7, 220.4, 41.8, 34.4, 220.4, 41.8, 0, 0, 0
L 24.7, 220.4, 56.6, 24.7, 186.8, 56.6, 150, 150, 150
L 34.4, 231.8, 41.8, 24.7, 231.8, 41.8, 0, 0, 0
L 24.7, 175.4, 56.6, 24.7, 171.1, 56.6, 0, 204, 0
L 24.7, 236.2, 56.6, 24.7, 231.8, 56.6, 0, 204, 0
L 24.7, 236.2, 56.6, -33.2, 236.2, 56.6, 0, 204, 0
L 24.7, 171.1, 56.6, -33.2, 171.1, 56.6, 0, 204, 0
L -34.5, 225.1, 55.6, -33.2, 236.2, 56.6, 0, 204, 0
L -34.5, 183.2, 55.6, -33.2, 171.1, 56.6, 0, 204, 0
L 108.7, 122.1, 49.9, 105.0, 122.5, 49.9, 127, 64, 0
L 105.2, 171.7, 49.9, 108.8, 171.9, 49.9, 127, 64, 0
L 108.5, 171.9, 49.9, 108.7, 122.1, 49.9, 127, 64, 0
L 55.9, 169.6, 49.9, 72.3, 118.6, 49.9, 127, 64, 0
L 72.3, 118.6, 49.9, 68.8, 117.6, 49.9, 127, 64, 0
L 165.3, 127.4, 49.9, 168.9, 127.3, 49.9, 127, 64, 0
L 105.0, 122.5, 49.9, 105.2, 171.7, 49.9, 127, 64, 0
L 168.9, 127.3, 49.9, 169.0, 177.0, 49.9, 127, 64, 0
L 169.0, 177.0, 49.9, 165.5, 177.1, 49.9, 127, 64, 0
L 165.5, 177.1, 49.9, 165.3, 127.4, 49.9, 127, 64, 0
L 68.8, 117.6, 49.9, 52.3, 168.6, 49.9, 127, 64, 0
L 52.3, 168.6, 49.9, 56.0, 169.6, 49.9, 127, 64, 0
L 9.4, 198.2, -5.1, 5.9, 198.2, -5.1, 102, 0, 204
L -7.7, 229.7, 10.4, -10.2, 226.3, 10.4, 178, 102, 255
L 3.9, 199.5, 10.4, -0.6, 199.5, 10.4, 178, 102, 255
L 7.2, 188.3, 10.4, 11.1, 188.3, 10.4, 178, 102, 255
L 11.1, 185.6, 10.4, 11.1, 188.3, 10.4, 178, 102, 255
L 11.1, 185.6, 10.4, 3.9, 185.6, 10.4, 178, 102, 255
L 3.9, 199.5, 10.4, 3.9, 185.6, 10.4, 178, 102, 255
L 7.2, 217.1, 10.4, 11.1, 217.1, 10.4, 178, 102, 255
L 11.1, 217.1, 10.4, 11.1, 219.9, 10.4, 178, 102, 255
L 3.9, 207.6, 10.4, 3.9, 219.9, 10.4, 178, 102, 255
L 3.9, 219.9, 10.4, 11.1, 219.9, 10.4, 178, 102, 255
L -0.6, 199.5, 10.4, -0.6, 207.6, 10.4, 178, 102, 255
L 3.9, 207.6, 10.4, -0.6, 207.6, 10.4, 178, 102, 255
L -0.6, 207.6, 10.4, -0.6, 225.2, 10.4, 178, 102, 255
L -0.6, 225.2, 10.4, -10.2, 225.2, 10.4, 150, 150, 150
L -10.2, 225.2, 10.4, -10.2, 226.3, 10.4, 178, 102, 255
L -10.2, 215.3, -5.1, -0.6, 215.3, -5.1, 150, 150, 150
L -10.2, 225.2, 10.4, -10.2, 224.0, 8.4, 102, 0, 204
L -0.6, 225.2, 10.4, -0.6, 224.0, 8.4, 102, 0, 204
L -0.6, 220.3, 2.6, -0.6, 219.0, 0.7, 102, 0, 204
L -10.2, 220.3, 2.6, -10.2, 219.0, 0.7, 102, 0, 204
L -0.6, 220.3, 2.6, -10.2, 220.3, 2.6, 150, 150, 150
L -0.6, 222.8, 6.5, -0.6, 221.5, 4.6, 102, 0, 204
L -10.2, 222.8, 6.5, -10.2, 221.5, 4.6, 102, 0, 204
L -0.6, 222.8, 6.5, -10.2, 222.8, 6.5, 150, 150, 150
L -0.6, 217.8, -1.3, -0.6, 216.6, -3.2, 102, 0, 204
L -10.2, 217.8, -1.3, -10.2, 216.6, -3.2, 102, 0, 204
L -0.6, 217.8, -1.3, -10.2, 217.8, -1.3, 150, 150, 150
L -0.6, 216.6, -3.2, -0.6, 215.3, -5.1, 102, 0, 204
L -10.2, 216.6, -3.2, -10.2, 215.3, -5.1, 102, 0, 204
L -0.6, 216.6, -3.2, -10.2, 216.6, -3.2, 150, 150, 150
L -0.6, 219.0, 0.7, -0.6, 217.8, -1.3, 102, 0, 204
L -10.2, 219.0, 0.7, -10.2, 217.8, -1.3, 102, 0, 204
L -0.6, 219.0, 0.7, -10.2, 219.0, 0.7, 150, 150, 150
L -0.6, 221.5, 4.6, -0.6, 220.3, 2.6, 102, 0, 204
L -10.2, 221.5, 4.6, -10.2, 220.3, 2.6, 102, 0, 204
L -0.6, 221.5, 4.6, -10.2, 221.5, 4.6, 150, 150, 150
L -0.6, 224.0, 8.4, -0.6, 222.8, 6.5, 102, 0, 204
L -10.2, 224.0, 8.4, -10.2, 222.8, 6.5, 102, 0, 204
L -0.6, 224.0, 8.4, -10.2, 224.0, 8.4, 150, 150, 150
L -10.2, 206.8, -5.1, -10.2, 215.3, -5.1, 102, 0, 204
L -10.2, 200.5, -5.1, -10.2, 191.8, -5.1, 102, 0, 204
L -10.2, 200.5, -5.1, -10.2, 206.8, -5.1, 102, 0, 204
L -0.6, 184.3, 6.5, -10.2, 184.3, 6.5, 150, 150, 150
L -10.2, 188.1, 0.7, -10.2, 189.3, -1.3, 102, 0, 204
L -0.6, 189.3, -1.3, -10.2, 189.3, -1.3, 150, 150, 150
L -0.6, 188.1, 0.7, -0.6, 189.3, -1.3, 102, 0, 204
L -0.6, 188.1, 0.7, -10.2, 188.1, 0.7, 150, 150, 150
L -0.6, 186.8, 2.6, -0.6, 188.1, 0.7, 102, 0, 204
L -0.6, 185.6, 4.6, -10.2, 185.6, 4.6, 150, 150, 150
L -0.6, 186.8, 2.6, -10.2, 186.8, 2.6, 150, 150, 150
L -10.2, 186.8, 2.6, -10.2, 188.1, 0.7, 102, 0, 204
L -0.6, 184.3, 6.5, -0.6, 185.6, 4.6, 102, 0, 204
L -10.2, 184.3, 6.5, -10.2, 185.6, 4.6, 102, 0, 204
L -0.6, 185.6, 4.6, -0.6, 186.8, 2.6, 102, 0, 204
L -10.2, 190.5, -3.2, -10.2, 191.8, -5.1, 102, 0, 204
L -10.2, 181.9, 10.4, -10.2, 183.1, 8.4, 102, 0, 204
L -0.6, 189.3, -1.3, -0.6, 190.5, -3.2, 102, 0, 204
L -10.2, 181.9, 10.4, -10.2, 180.8, 10.4, 178, 102, 255
L -0.6, 190.5, -3.2, -0.6, 191.8, -5.1, 102, 0, 204
L -0.6, 190.5, -3.2, -10.2, 190.5, -3.2, 150, 150, 150
L -10.2, 183.1, 8.4, -10.2, 184.3, 6.5, 102, 0, 204
L -0.6, 183.1, 8.4, -0.6, 184.3, 6.5, 102, 0, 204
L -0.6, 183.1, 8.4, -10.2, 183.1, 8.4, 150, 150, 150
L -0.6, 181.9, 10.4, -0.6, 183.1, 8.4, 102, 0, 204
L -0.6, 181.9, 10.4, -10.2, 181.9, 10.4, 150, 150, 150
L -7.7, 177.4, 10.4, -10.2, 180.8, 10.4, 178, 102, 255
L -0.6, 199.5, 10.4, -0.6, 181.9, 10.4, 178, 102, 255
L -10.2, 185.6, 4.6, -10.2, 186.8, 2.6, 102, 0, 204
L -10.2, 189.3, -1.3, -10.2, 190.5, -3.2, 102, 0, 204
L -10.2, 191.8, -5.1, -0.6, 191.8, -5.1, 150, 150, 150
L 5.9, 215.3, -5.1, 5.9, 208.8, -5.1, 102, 0, 204
L -0.6, 215.3, -5.1, 5.9, 215.3, -5.1, 102, 0, 204
L 5.9, 191.8, -5.1, 5.9, 198.2, -5.1, 102, 0, 204
L -0.6, 191.8, -5.1, 5.9, 191.8, -5.1, 102, 0, 204
L 35.2, 58.5, 15.4, 34.9, 60.6, 13.7, 178, 102, 255
L 13.4, 81.0, 42.4, 16.3, 64.6, 42.4, 150, 150, 150
L 179.0, 118.1, 25.6, 184.9, 119.1, 25.6, 204, 0, 204
L 10.6, 96.8, 42.4, 11.4, 92.2, 42.4, 150, 150, 150
L 184.9, 119.1, 25.6, 183.9, 124.8, 25.6, 204, 0, 204
L 181.9, 91.5, 41.8, 181.5, 93.9, 41.8, 205, 133, 63
L 37.5, 45.4, 26.2, 50.6, 47.8, 26.2, 150, 150, 150
L 190.5, 87.7, 25.6, 184.6, 86.7, 25.6, 204, 0, 204
L 212.7, 110.9, -5.1, 211.2, 119.5, -5.1, 102, 0, 204
L 181.5, 93.9, 41.8, 182.6, 94.1, 41.8, 0, 0, 0
L 183.9, 124.8, 25.6, 175.1, 123.2, 25.6, 204, 0, 204
L 182.6, 80.5, 25.6, 191.5, 82.1, 25.6, 204, 0, 204
L 181.2, 88.9, 41.8, 180.7, 91.3, 41.8, 205, 133, 63
L 174.1, 72.3, 41.8, 176.5, 72.7, 45.5, 0, 204, 0
L 174.6, 83.9, 45.5, 176.5, 72.7, 45.5, 150, 150, 150
L 12.5, 63.9, 38.7, 14.9, 64.3, 42.4, 204, 0, 204
L 9.6, 51.9, 31.3, 12.1, 52.3, 35.0, 204, 0, 204
L 215.5, 95.1, -3.2, 215.3, 96.3, -5.1, 102, 0, 204
L 206.0, 93.4, -3.2, 215.5, 95.1, -3.2, 150, 150, 150
L 206.0, 93.4, -3.2, 205.8, 94.6, -5.1, 102, 0, 204
L 215.3, 96.3, -5.1, 205.8, 94.6, -5.1, 150, 150, 150
L 208.5, 87.9, 55.6, 236.5, 92.7, 55.6, 0, 204, 0
L 216.4, 90.2, 4.6, 216.1, 91.4, 2.6, 102, 0, 204
L 174.1, 72.3, 41.8, 172.2, 83.5, 41.8, 150, 150, 150
L 17.3, 50.5, 27.6, 5.4, 51.5, 27.6, 204, 0, 204
L 41.6, 107.2, 11.9, 58.0, 112.1, 11.2, 178, 102, 255
L 14.9, 64.3, 27.6, 5.3, 62.6, 27.6, 204, 0, 204
L 14.5, 52.7, 38.7, 16.9, 53.1, 42.4, 204, 0, 204
L 17.2, 77.1, 27.6, 13.1, 99.8, 27.6, 204, 0, 204
L 193.0, 109.7, -5.1, 196.5, 110.4, -5.1, 102, 0, 204
L 12.0, 80.8, 42.4, 13.4, 81.0, 42.4, 150, 150, 150
L 14.5, 52.7, 38.7, 12.5, 63.9, 38.7, 150, 150, 150
L 200.0, 101.4, 10.4, 202.1, 89.3, 10.4, 178, 102, 255
L 181.8, 85.2, 56.6, 183.7, 74.0, 56.6, 150, 150, 150
L -2.1, 88.1, 11.9, 13.8, 96.6, 11.9, 178, 102, 255
L 20.8, 50.1, 11.9, 10.1, 51.8, 11.9, 178, 102, 255
L 206.6, 89.7, 2.6, 216.1, 91.4, 2.6, 150, 150, 150
L 16.9, 53.1, 42.4, 18.3, 53.4, 42.4, 0, 0, 0
L 39.4, 106.3, 11.9, 44.1, 79.6, 11.9, 178, 102, 255
L 176.5, 72.7, 45.5, 178.9, 73.1, 49.2, 0, 204, 0
L 12.8, 76.3, 27.6, 12.0, 80.8, 27.6, 204, 0, 204
L 206.4, 91.0, 0.7, 215.9, 92.6, 0.7, 150, 150, 150
L 216.1, 91.4, 2.6, 215.9, 92.6, 0.7, 102, 0, 204
L 206.6, 89.7, 2.6, 206.4, 91.0, 0.7, 102, 0, 204
L 18.3, 53.4, 42.4, 19.1, 48.7, 42.4, 150, 150, 150
L 9.6, 80.4, 38.7, 12.0, 80.8, 42.4, 204, 0, 204
L 174.6, 83.9, 45.5, 177.0, 84.3, 49.2, 0, 204, 0
L 79.3, 49.5, 42.4, 19.1, 48.7, 42.4, 0, 0, 0
L 4.8, 79.5, 31.3, 7.2, 79.9, 35.0, 204, 0, 204
L 10.0, 92.0, 42.4, 12.0, 80.8, 42.4, 150, 150, 150
L 10.6, 96.8, 42.4, 31.3, 104.1, 42.4, 0, 0, 0
L 0.4, 90.3, 27.6, 2.8, 90.7, 31.3, 204, 0, 204
L 2.8, 90.7, 31.3, 4.8, 79.5, 31.3, 150, 150, 150
L 7.2, 79.9, 35.0, 9.6, 80.4, 38.7, 204, 0, 204
L 206.9, 88.5, 4.6, 206.6, 89.7, 2.6, 102, 0, 204
L 206.9, 88.5, 4.6, 216.4, 90.2, 4.6, 150, 150, 150
L 191.5, 82.1, 25.6, 190.5, 87.7, 25.6, 204, 0, 204
L 184.6, 86.7, 25.6, 179.0, 118.1, 25.6, 204, 0, 204
L 205.2, 98.9, 69.9, 202.8, 112.5, 69.9, 150, 150, 150
L 205.2, 98.9, 69.9, 206.7, 90.4, 69.9, 150, 150, 150
L 207.3, 87.1, 69.9, 206.7, 90.4, 69.9, 102, 255, 102
L 207.3, 87.1, 69.9, 242.8, 93.4, 69.9, 102, 255, 102
L 236.2, 130.5, 69.9, 242.8, 93.4, 69.9, 102, 255, 102
L 236.2, 130.5, 69.9, 200.7, 124.3, 69.9, 102, 255, 102
L 201.3, 121.0, 69.9, 200.7, 124.3, 69.9, 102, 255, 102
L 201.3, 121.0, 69.9, 202.8, 112.5, 69.9, 150, 150, 150
L 179.4, 84.8, 52.9, 181.3, 73.6, 52.9, 150, 150, 150
L 179.4, 84.8, 52.9, 181.8, 85.2, 56.6, 0, 204, 0
L 9.5, 94.8, 27.6, 10.0, 92.0, 27.6, 204, 0, 204
L 16.9, 53.1, 27.6, 17.3, 50.5, 27.6, 204, 0, 204
L 177.0, 84.3, 49.2, 179.4, 84.8, 52.9, 0, 204, 0
L 10.1, 51.8, 11.9, 4.3, 52.6, 11.9, 178, 102, 255
L 12.1, 52.3, 35.0, 14.5, 52.7, 38.7, 204, 0, 204
L 10.0, 92.0, 27.6, 0.4, 90.3, 27.6, 204, 0, 204
L 172.2, 83.5, 41.8, 174.6, 83.9, 45.5, 0, 204, 0
L 50.2, 49.9, 24.4, 49.8, 52.2, 22.5, 178, 102, 255
L 67.2, 44.6, 26.1, 56.8, 104.3, 26.1, 204, 0, 204
L 37.1, 47.6, 24.4, 50.2, 49.9, 24.4, 150, 150, 150
L 37.1, 47.6, 24.4, 36.8, 49.8, 22.6, 178, 102, 255
L 36.8, 49.8, 22.6, 49.8, 52.2, 22.5, 150, 150, 150
L 209.5, 131.8, 41.8, 226.8, 134.9, 41.8, 0, 0, 0
L 212.7, 110.9, -5.1, 213.8, 104.7, -5.1, 102, 0, 204
L 200.0, 101.4, 10.4, 204.4, 102.2, 10.4, 178, 102, 255
L 198.6, 109.5, 10.4, 203.0, 110.2, 10.4, 178, 102, 255
L 36.0, 54.1, 19.0, 35.6, 56.3, 17.2, 178, 102, 255
L 106.5, 122.1, -5.1, 112.5, 122.8, -5.1, 102, 0, 204
L 124.5, 49.1, 25.6, 81.1, 44.0, 25.6, 204, 0, 204
L 37.5, 45.4, 26.2, 37.1, 47.6, 24.4, 178, 102, 255
L 50.6, 47.8, 26.2, 50.2, 49.9, 24.4, 178, 102, 255
L 35.6, 56.3, 17.2, 48.7, 58.6, 17.2, 150, 150, 150
L 49.0, 56.4, 19.0, 48.7, 58.6, 17.2, 178, 102, 255
L 36.0, 54.1, 19.0, 49.0, 56.4, 19.0, 150, 150, 150
L 120.9, 88.2, 25.6, 117.8, 87.5, 25.6, 204, 0, 204
L 44.9, 102.0, -5.1, 70.5, 112.3, -5.1, 102, 0, 204
L 189.1, 121.8, 10.4, 189.6, 119.2, 10.4, 178, 102, 255
L 182.2, 96.6, 41.8, 187.7, 97.5, 41.8, 0, 0, 0
L 221.2, 84.5, 41.8, 185.8, 75.8, 41.8, 0, 0, 0
L 193.4, 119.9, 10.4, 189.6, 119.2, 10.4, 178, 102, 255
L 183.5, 89.3, 41.8, 183.0, 91.7, 41.8, 205, 133, 63
L 198.4, 91.5, 10.4, 194.6, 90.8, 10.4, 178, 102, 255
L 181.9, 91.5, 41.8, 180.7, 91.3, 41.8, 205, 133, 63
L 50.3, 49.0, 11.9, 64.7, 50.4, 11.9, 178, 102, 255
L 67.4, 51.9, 11.9, 94.4, 52.4, 10.8, 178, 102, 255
L 240.9, 90.9, 55.6, 241.5, 79.8, 56.6, 0, 204, 0
L 117.8, 87.5, 25.6, 124.5, 49.1, 25.6, 204, 0, 204
L 235.3, 87.0, 41.8, 221.2, 84.5, 41.8, 0, 0, 0
L 127.7, 49.3, 25.6, 120.9, 88.2, 25.6, 204, 0, 204
L 177.0, 112.2, 41.8, 176.6, 114.7, 41.8, 205, 133, 63
L 226.8, 134.9, 41.8, 235.3, 87.0, 41.8, 0, 0, 0
L 13.7, 71.3, 27.6, 13.2, 73.8, 27.6, 205, 133, 63
L -0.1, 54.5, -5.1, -14.7, 57.2, -5.1, 102, 0, 204
L 32.0, 77.4, 11.9, 23.4, 75.8, 11.9, 178, 102, 255
L 235.3, 82.6, 25.6, 211.9, 72.5, 25.6, 204, 0, 204
L 171.6, 129.1, 52.9, 173.5, 117.9, 52.9, 150, 150, 150
L 198.8, 89.2, 25.6, 199.8, 83.6, 25.6, 204, 0, 204
L 188.5, 118.7, 55.6, 191.7, 119.3, 59.2, 102, 255, 102
L 36.4, 52.0, 20.8, 36.0, 54.1, 19.0, 178, 102, 255
L 208.6, 90.9, 25.6, 198.8, 89.2, 25.6, 204, 0, 204
L 180.8, 105.6, 10.4, 175.6, 134.7, 10.4, 178, 102, 255
L 171.6, 129.1, 52.9, 174.0, 129.5, 56.6, 0, 204, 0
L 178.2, 105.2, 10.4, 180.8, 105.6, 10.4, 178, 102, 255
L 175.9, 118.3, 41.8, 176.1, 117.1, 41.8, 0, 0, 0
L 200.3, 89.3, 62.7, 203.5, 89.8, 66.3, 102, 255, 102
L 141.7, 130.3, 41.8, 173.1, 134.2, 41.8, 0, 0, 0
L 163.4, 66.2, -5.1, 159.4, 65.3, -5.1, 102, 0, 204
L 210.5, 123.1, 0.7, 210.8, 121.9, -1.3, 102, 0, 204
L 201.3, 120.3, -1.3, 210.8, 121.9, -1.3, 150, 150, 150
L 201.0, 121.5, 0.7, 201.3, 120.3, -1.3, 102, 0, 204
L 201.0, 121.5, 0.7, 210.5, 123.1, 0.7, 150, 150, 150
L 198.4, 79.1, -5.1, 163.4, 66.2, -5.1, 102, 0, 204
L 58.0, 112.1, 11.2, 78.6, 118.4, 10.8, 178, 102, 255
L 200.8, 122.7, 2.6, 210.3, 124.4, 2.6, 150, 150, 150
L 175.9, 118.3, 41.8, 166.3, 116.6, 41.8, 0, 0, 0
L 200.4, 125.1, 6.5, 209.9, 126.8, 6.5, 150, 150, 150
L 173.1, 134.2, 41.8, 174.0, 129.5, 41.8, 0, 0, 0
L 34.8, 51.2, 11.9, 30.2, 50.7, 11.9, 178, 102, 255
L 4.3, 52.6, 11.9, -2.1, 88.1, 11.9, 178, 102, 255
L 200.6, 123.9, 4.6, 200.8, 122.7, 2.6, 102, 0, 204
L 179.3, 98.7, 10.4, 181.8, 84.9, 10.4, 178, 102, 255
L 187.3, 68.8, 10.4, 181.9, 99.1, 10.4, 178, 102, 255
L 169.1, 128.7, 49.2, 171.6, 129.1, 52.9, 0, 204, 0
L 176.1, 117.1, 41.8, 177.3, 117.3, 41.8, 0, 0, 0
L 48.7, 58.6, 17.2, 48.3, 60.7, 15.5, 178, 102, 255
L 200.8, 122.7, 2.6, 201.0, 121.5, 0.7, 102, 0, 204
L 200.6, 123.9, 4.6, 210.1, 125.6, 4.6, 150, 150, 150
L 123.6, 59.9, -5.1, 111.4, 57.2, -5.1, 102, 0, 204
L 211.9, 72.5, 25.6, 208.6, 90.9, 25.6, 204, 0, 204
L 225.3, 139.1, 25.6, 235.3, 82.6, 25.6, 204, 0, 204
L 164.3, 127.8, 41.8, 166.7, 128.2, 45.5, 0, 204, 0
L 146.5, 60.4, 10.4, 184.9, 67.7, 10.4, 178, 102, 255
L 56.3, 53.5, -5.1, 45.9, 53.4, -5.1, 102, 0, 204
L 208.5, 87.9, 55.6, 206.0, 102.1, 55.6, 0, 204, 0
L 193.9, 88.1, 55.6, 197.1, 88.7, 59.2, 102, 255, 102
L 189.4, 129.7, -5.1, 193.0, 109.7, -5.1, 102, 0, 204
L 146.5, 81.6, -5.1, 121.8, 77.2, -5.1, 102, 0, 204
L 121.8, 77.2, -5.1, 123.6, 59.9, -5.1, 102, 0, 204
L 210.3, 124.4, 2.6, 210.5, 123.1, 0.7, 102, 0, 204
L 49.8, 52.2, 22.5, 49.4, 54.2, 20.8, 178, 102, 255
L 5.3, 62.6, 27.6, 7.2, 51.4, 27.6, 150, 150, 150
L 200.4, 125.1, 6.5, 200.6, 123.9, 4.6, 102, 0, 204
L 209.9, 126.8, 6.5, 210.1, 125.6, 4.6, 102, 0, 204
L 168.7, 117.0, 45.5, 171.1, 117.5, 49.2, 0, 204, 0
L 36.8, 49.8, 22.6, 36.4, 52.0, 20.8, 178, 102, 255
L 198.8, 97.8, 62.7, 200.3, 89.3, 62.7, 150, 150, 150
L 140.4, 108.9, -5.1, 152.6, 109.6, -5.1, 102, 0, 204
L 199.6, 122.1, 55.6, 188.3, 120.1, 55.6, 0, 204, 0
L 200.2, 126.4, 8.4, 209.7, 128.0, 8.4, 150, 150, 150
L 240.9, 90.9, 55.6, 233.6, 132.2, 55.6, 0, 204, 0
L 188.5, 118.7, 55.6, 190.0, 110.2, 55.6, 150, 150, 150
L 215.9, 92.6, 0.7, 215.7, 93.9, -1.3, 102, 0, 204
L 206.4, 91.0, 0.7, 206.2, 92.2, -1.3, 102, 0, 204
L 206.2, 92.2, -1.3, 215.7, 93.9, -1.3, 150, 150, 150
L 201.7, 117.8, -5.1, 195.3, 116.7, -5.1, 102, 0, 204
L 203.6, 99.9, 55.6, 192.2, 97.9, 55.6, 0, 204, 0
L 201.4, 111.9, 55.6, 190.1, 109.9, 55.6, 0, 204, 0
L 201.8, 110.2, 55.6, 201.4, 111.9, 55.6, 0, 204, 0
L 210.1, 125.6, 4.6, 210.3, 124.4, 2.6, 102, 0, 204
L 215.3, 81.7, 10.4, 217.2, 85.5, 10.4, 178, 102, 255
L 200.2, 126.4, 8.4, 200.4, 125.1, 6.5, 102, 0, 204
L 200.0, 127.6, 10.4, 200.2, 126.4, 8.4, 102, 0, 204
L 200.0, 127.6, 10.4, 209.5, 129.3, 10.4, 150, 150, 150
L 209.5, 129.3, 10.4, 209.7, 128.0, 8.4, 102, 0, 204
L 203.1, 110.4, 55.6, 201.8, 110.2, 55.6, 0, 204, 0
L 188.3, 120.1, 55.6, 188.5, 118.7, 55.6, 0, 204, 0
L 204.5, 110.7, 55.6, 203.1, 110.4, 55.6, 0, 204, 0
L 195.3, 116.7, -5.1, 196.5, 110.4, -5.1, 102, 0, 204
L 201.3, 120.3, -1.3, 201.5, 119.0, -3.2, 102, 0, 204
L 210.8, 121.9, -1.3, 211.0, 120.7, -3.2, 102, 0, 204
L 201.5, 119.0, -3.2, 211.0, 120.7, -3.2, 150, 150, 150
L 205.5, 88.7, 55.6, 194.1, 86.7, 55.6, 0, 204, 0
L 204.5, 110.7, 55.6, 201.9, 125.0, 55.6, 0, 204, 0
L 229.7, 129.3, 55.6, 201.9, 125.0, 55.6, 0, 204, 0
L 206.2, 84.8, 55.6, 240.9, 90.9, 55.6, 0, 204, 0
L 198.9, 126.1, 55.6, 233.6, 132.2, 55.6, 0, 204, 0
L 178.9, 73.1, 49.2, 181.3, 73.6, 52.9, 0, 204, 0
L 190.0, 110.2, 55.6, 190.1, 109.9, 55.6, 0, 204, 0
L 236.5, 92.7, 55.6, 229.7, 129.3, 55.6, 0, 204, 0
L 209.7, 128.0, 8.4, 209.9, 126.8, 6.5, 102, 0, 204
L -1.3, 90.4, 27.6, 9.5, 94.8, 27.6, 204, 0, 204
L 203.3, 101.7, 55.6, 204.6, 101.9, 55.6, 0, 204, 0
L 10.1, 63.5, 35.0, 12.5, 63.9, 38.7, 204, 0, 204
L 201.5, 119.0, -3.2, 201.7, 117.8, -5.1, 102, 0, 204
L 205.8, 94.6, -5.1, 199.4, 93.5, -5.1, 102, 0, 204
L 206.2, 133.2, 10.4, 209.3, 130.3, 10.4, 178, 102, 255
