P -900, -400, -259, 102, 0, 204, 2, Basement
P -900, -300, -7, 0, 0, 0, 2, First_Floor
P -900, -200, 129, 0, 204, 204, 2, Second_Floor
P -900, -100, 256, 0, 204, 0, 2, Third_Floor
L 462.0, 875.0, -257.0, 470.0, 878.0, -256.0, 102, 0, 204
L 470.0, 878.0, -256.0, 479.0, 875.0, -256.0, 102, 0, 204
L 479.0, 875.0, -256.0, 489.0, 873.0, -256.0, 102, 0, 204
L 489.0, 873.0, -256.0, 497.0, 870.0, -258.0, 102, 0, 204
L -34.0, 81.0, -6.0, -91.0, 81.0, -6.0, 0, 0, 0
L -91.0, 81.0, -6.0, -91.0, 61.0, -6.0, 150, 150, 150
L -91.0, 61.0, -6.0, -154.0, 61.0, -6.0, 150, 150, 150
L -154.0, 61.0, -6.0, -154.0, 19.0, -6.0, 150, 150, 150
L -287.0, 19.0, -6.0, -287.0, 52.0, -6.0, 0, 0, 0
L -287.0, 52.0, -6.0, -320.0, 52.0, -6.0, 0, 0, 0
L -320.0, 52.0, -6.0, -320.0, 19.0, -6.0, 0, 0, 0
L -402.0, 19.0, -6.0, -402.0, 200.0, -6.0, 0, 0, 0
L -387.0, 200.0, -6.0, -387.0, 179.0, -6.0, 0, 0, 0
L -387.0, 179.0, -6.0, -341.0, 179.0, -6.0, 0, 0, 0
L -341.0, 179.0, -6.0, -341.0, 205.0, -6.0, 0, 0, 0
L -337.0, 201.0, -6.0, -331.0, 201.0, -6.0, 0, 0, 0
L -331.0, 201.0, -6.0, -331.0, 101.0, -6.0, 0, 0, 0
L -331.0, 101.0, -6.0, -278.0, 101.0, -6.0, 0, 0, 0
L -161.0, 128.0, 9.0, -161.0, 306.0, 9.0, 0, 0, 0
L -161.0, 306.0, 9.0, -224.0, 306.0, 9.0, 0, 0, 0
L -309.0, 306.0, 9.0, -309.0, 128.0, 9.0, 0, 0, 0
L -316.0, 117.0, -6.0, -316.0, 217.0, -6.0, 0, 0, 0
L -316.0, 217.0, -6.0, -337.0, 217.0, -6.0, 0, 0, 0
L -337.0, 217.0, -6.0, -337.0, 214.0, -6.0, 0, 0, 0
L -341.0, 239.0, -6.0, -387.0, 239.0, -6.0, 0, 0, 0
L -418.0, 217.0, -6.0, -418.0, 197.0, -6.0, 0, 0, 0
L -540.0, 249.0, -6.0, -540.0, 253.2, -5.9, 0, 0, 0
L -556.0, 249.0, -6.0, -619.0, 249.0, -6.0, 0, 0, 0
L -677.0, 200.0, -6.0, -677.0, 219.0, -6.0, 0, 0, 0
L -677.0, 219.0, -6.0, -705.5, 219.0, -6.0, 0, 0, 0
L -708.0, 219.0, -6.0, -708.0, 240.0, -6.0, 0, 0, 0
L -708.0, 240.0, -6.0, -754.0, 240.0, -6.0, 0, 0, 0
L -754.0, 240.0, -6.0, -754.0, 180.0, -6.0, 0, 0, 0
L -754.0, 180.0, -6.0, -708.0, 180.0, -6.0, 0, 0, 0
L -708.0, 180.0, -6.0, -708.0, 201.0, -6.0, 0, 0, 0
L -708.0, 201.0, -6.0, -705.5, 201.0, -6.0, 0, 0, 0
L -693.0, 201.0, -6.0, -693.0, 1.0, -6.0, 0, 0, 0
L -693.0, 1.0, -6.0, -652.3, 1.0, -6.0, 0, 0, 0
L -650.0, -92.0, -6.0, -444.0, -92.0, -6.0, 0, 0, 0
L -444.0, -92.0, -6.0, -444.0, 111.0, -6.0, 0, 0, 0
L -444.0, 111.0, -6.0, -650.0, 111.0, -6.0, 0, 0, 0
L -650.0, 111.0, -6.0, -650.0, 18.0, -6.0, 0, 0, 0
L -650.0, 18.0, -6.0, -652.3, 18.0, -6.0, 0, 0, 0
L -680.0, 18.0, -6.0, -680.0, 186.0, -6.0, 0, 0, 0
L -680.0, 186.0, -6.0, -621.0, 186.0, -6.0, 0, 0, 0
L -619.0, 135.0, -6.0, -476.0, 135.0, -6.0, 0, 0, 0
L -476.0, 135.0, -6.0, -476.0, 182.0, -6.0, 0, 0, 0
L -476.0, 182.0, -6.0, -473.3, 182.0, -6.0, 0, 0, 0
L -418.0, 182.0, -6.0, -418.0, -140.0, -6.0, 0, 0, 0
L -418.0, -140.0, -6.0, -429.4, -140.0, -6.0, 0, 0, 0
L -479.0, -118.0, -6.0, -479.0, -178.0, -6.0, 0, 0, 0
L -479.0, -178.0, -6.0, -433.0, -178.0, -6.0, 0, 0, 0
L -433.0, -178.0, -6.0, -433.0, -156.0, -6.0, 0, 0, 0
L -402.0, -156.0, -6.0, -402.0, 3.0, -6.0, 0, 0, 0
L -402.0, 3.0, -6.0, -318.0, 3.0, -6.0, 0, 0, 0
L -318.0, 3.0, -6.0, -318.0, -29.0, -6.0, 0, 0, 0
L -318.0, -29.0, -6.0, -287.0, -29.0, -6.0, 0, 0, 0
L -287.0, -29.0, -6.0, -287.0, 3.0, -6.0, 0, 0, 0
L -287.0, 3.0, -6.0, -154.0, 2.0, -6.0, 0, 0, 0
L -154.0, 2.0, -6.0, -154.0, -38.0, -6.0, 150, 150, 150
L -154.0, -38.0, -6.0, -119.0, -38.0, -6.0, 150, 150, 150
L -119.0, -38.0, -6.0, -119.0, -42.0, -6.0, 150, 150, 150
L -173.0, -41.9, 0.0, -173.0, 65.0, 9.0, 0, 0, 0
L -112.0, 80.0, 9.0, -112.0, 83.9, 9.0, 0, 0, 0
L -112.0, 122.0, 9.0, 0.0, 122.0, 9.0, 0, 0, 0
L 0.0, 122.0, 9.0, 0.0, 134.2, 9.0, 0, 0, 0
L 0.0, 138.0, 9.0, -46.0, 138.0, 9.0, 0, 0, 0
L -46.0, 138.0, 9.0, -46.0, 281.0, 9.0, 0, 0, 0
L -46.0, 281.0, 9.0, 1.0, 281.0, 9.0, 0, 0, 0
L 1.0, 281.0, 9.0, 1.0, 284.2, 9.0, 0, 0, 0
L 1.0, 355.0, 9.0, -91.0, 355.0, 9.0, 0, 0, 0
L -91.0, 355.0, 9.0, -91.0, 561.0, 9.0, 0, 0, 0
L -91.0, 561.0, 9.0, 112.0, 561.0, 9.0, 0, 0, 0
L 112.0, 561.0, 9.0, 112.0, 355.0, 9.0, 0, 0, 0
L 112.0, 355.0, 9.0, 19.0, 355.0, 9.0, 0, 0, 0
L 19.0, 355.0, 9.0, 19.0, 351.9, 9.0, 0, 0, 0
L 19.0, 281.0, 9.0, 67.0, 281.0, 9.0, 0, 0, 0
L 67.0, 281.0, 9.0, 67.0, 138.0, 9.0, 0, 0, 0
L 67.0, 138.0, 9.0, 18.0, 138.0, 9.0, 0, 0, 0
L 18.0, 138.0, 9.0, 17.0, 123.0, 9.0, 0, 0, 0
L 17.0, 123.0, 9.0, 76.7, 123.0, 9.0, 0, 0, 0
L 80.0, 123.0, 9.0, 80.0, 144.0, 9.0, 0, 0, 0
L 80.0, 144.0, 9.0, 126.0, 144.0, 9.0, 0, 0, 0
L 126.0, 144.0, 9.0, 126.0, 84.0, 9.0, 0, 0, 0
L 126.0, 84.0, 9.0, 80.0, 84.0, 9.0, 0, 0, 0
L -95.0, 106.0, 9.0, -95.0, 83.9, 9.0, 0, 0, 0
L -159.0, 65.0, 9.0, -159.0, -41.9, 0.0, 150, 150, 150
L -139.0, -53.0, 0.0, -119.0, -53.0, -6.0, 150, 150, 150
L -119.0, -53.0, -6.0, -119.0, -57.0, -6.0, 150, 150, 150
L -245.0, -61.0, -6.0, -245.0, -116.5, -6.0, 0, 0, 0
L -339.0, -120.0, -6.0, -339.0, -325.0, -6.0, 0, 0, 0
L -339.0, -325.0, -6.0, -135.0, -325.0, -6.0, 0, 0, 0
L -135.0, -325.0, -6.0, -135.0, -119.0, -6.0, 0, 0, 0
L -135.0, -119.0, -6.0, -228.0, -119.0, -6.0, 0, 0, 0
L -228.0, -119.0, -6.0, -228.0, -116.5, -6.0, 0, 0, 0
L -228.0, -78.0, -6.0, -178.0, -78.0, -6.0, 0, 0, 0
L -174.0, -78.0, -6.0, -174.0, -82.0, -6.0, 0, 0, 0
L -174.0, -82.0, -6.0, -34.0, -82.0, -6.0, 0, 0, 0
L -569.0, 10.0, 8.0, -569.0, 14.0, 8.0, 255, 255, 0
L -569.0, 14.0, 8.0, -563.0, 26.0, 8.0, 255, 255, 0
L -563.0, 26.0, 8.0, -549.0, 32.0, 8.0, 255, 255, 0
L -549.0, 32.0, 8.0, -533.0, 26.0, 8.0, 255, 255, 0
L -533.0, 26.0, 8.0, -525.0, 10.0, 8.0, 255, 255, 0
L -525.0, 10.0, 8.0, -535.0, -8.0, 8.0, 255, 255, 0
L -535.0, -8.0, 8.0, -552.0, -13.0, 8.0, 255, 255, 0
L -552.0, -13.0, 8.0, -565.0, -4.0, 8.0, 255, 255, 0
L -565.0, -4.0, 8.0, -568.0, 3.0, 9.0, 255, 255, 0
L -220.0, -206.0, 7.0, -214.0, -224.0, 7.0, 255, 255, 0
L -214.0, -224.0, 7.0, -224.0, -239.0, 7.0, 255, 255, 0
L -224.0, -239.0, 7.0, -240.0, -244.0, 7.0, 255, 255, 0
L -240.0, -244.0, 7.0, -255.0, -235.0, 7.0, 255, 255, 0
L -255.0, -235.0, 7.0, -260.0, -218.0, 7.0, 255, 255, 0
L -260.0, -218.0, 7.0, -250.0, -203.0, 7.0, 255, 255, 0
L -250.0, -203.0, 7.0, -238.0, -198.0, 7.0, 255, 255, 0
L -91.0, 353.0, 138.0, 112.0, 353.0, 138.0, 0, 204, 204
L 112.0, 353.0, 138.0, 112.0, 559.0, 138.0, 0, 204, 204
L 19.0, 559.0, 138.0, 19.0, 562.5, 138.0, 0, 204, 204
L 19.0, 622.0, 138.0, 112.7, 622.0, 138.0, 0, 204, 204
L 115.0, 622.0, 138.0, 115.0, 600.0, 138.0, 0, 204, 204
L 115.0, 600.0, 138.0, 160.0, 600.0, 138.0, 0, 204, 204
L 160.0, 600.0, 138.0, 160.0, 660.0, 138.0, 0, 204, 204
L 160.0, 660.0, 138.0, 115.0, 660.0, 138.0, 0, 204, 204
L 115.0, 660.0, 138.0, 115.0, 639.0, 138.0, 0, 204, 204
L 115.0, 639.0, 138.0, 112.7, 639.0, 138.0, 0, 204, 204
L -122.0, 639.0, 138.0, -122.0, 671.0, 138.0, 0, 204, 204
L -122.0, 671.0, 138.0, -153.0, 671.0, 138.0, 0, 204, 204
L -153.0, 671.0, 138.0, -153.0, 638.0, 138.0, 0, 204, 204
L -153.0, 638.0, 138.0, -226.0, 638.0, 138.0, 0, 204, 204
L -226.0, 665.0, 138.0, -205.0, 665.0, 138.0, 0, 204, 204
L -205.0, 665.0, 138.0, -205.0, 710.0, 138.0, 0, 204, 204
L -205.0, 710.0, 138.0, -265.0, 710.0, 138.0, 0, 204, 204
L -265.0, 710.0, 138.0, -265.0, 665.0, 138.0, 0, 204, 204
L -265.0, 665.0, 138.0, -244.0, 665.0, 138.0, 0, 204, 204
L -244.0, 665.0, 138.0, -244.0, 661.7, 138.0, 0, 204, 204
L -244.0, 559.0, 138.0, -337.0, 559.0, 138.0, 0, 204, 204
L -337.0, 559.0, 138.0, -337.0, 353.0, 138.0, 0, 204, 204
L -337.0, 353.0, 138.0, -244.0, 353.0, 138.0, 0, 204, 204
L -244.0, 353.0, 138.0, -244.0, 349.4, 138.0, 0, 204, 204
L -244.0, 285.0, 138.0, -357.0, 285.0, 138.0, 0, 204, 204
L -357.0, 285.0, 138.0, -357.0, 462.0, 138.0, 0, 204, 204
L -357.0, 462.0, 138.0, -442.0, 462.0, 138.0, 0, 204, 204
L -442.0, 462.0, 138.0, -442.0, 495.0, 138.0, 0, 204, 204
L -442.0, 495.0, 138.0, -533.0, 495.0, 138.0, 0, 204, 204
L -533.0, 495.0, 138.0, -533.0, 462.0, 138.0, 0, 204, 204
L -533.0, 462.0, 138.0, -561.0, 463.0, 138.0, 0, 204, 204
L -561.0, 463.0, 138.0, -561.0, 484.0, 138.0, 0, 204, 204
L -561.0, 484.0, 138.0, -607.0, 484.0, 138.0, 0, 204, 204
L -607.0, 484.0, 138.0, -607.0, 425.0, 138.0, 0, 204, 204
L -607.0, 425.0, 138.0, -561.0, 425.0, 138.0, 0, 204, 204
L -561.0, 425.0, 138.0, -561.0, 446.0, 138.0, 0, 204, 204
L -561.0, 446.0, 138.0, -557.8, 446.0, 138.0, 0, 204, 204
L -533.0, 446.0, 138.0, -533.0, 414.0, 138.0, 0, 204, 204
L -533.0, 414.0, 138.0, -495.0, 414.0, 138.0, 0, 204, 204
L -495.0, 414.0, 138.0, -496.0, 382.0, 138.0, 0, 204, 204
L -496.0, 382.0, 138.0, -517.0, 382.0, 138.0, 0, 204, 204
L -517.0, 382.0, 138.0, -517.0, 336.0, 138.0, 0, 204, 204
L -517.0, 336.0, 138.0, -495.0, 336.0, 138.0, 0, 204, 204
L -495.0, 287.0, 138.0, -543.0, 288.0, 138.0, 0, 204, 204
L -543.0, 288.0, 138.0, -543.0, 336.0, 138.0, 0, 204, 204
L -543.0, 336.0, 138.0, -685.0, 336.0, 146.0, 0, 204, 204
L -685.0, 336.0, 146.0, -685.0, 222.0, 146.0, 0, 204, 204
L -685.0, 222.0, 146.0, -543.0, 222.0, 138.0, 0, 204, 204
L -543.0, 222.0, 138.0, -543.0, 270.0, 138.0, 0, 204, 204
L -543.0, 270.0, 138.0, -480.0, 271.0, 138.0, 0, 204, 204
L -480.0, 271.0, 138.0, -480.0, 333.6, 138.0, 0, 204, 204
L -480.0, 336.0, 138.0, -458.0, 336.0, 138.0, 0, 204, 204
L -458.0, 336.0, 138.0, -458.0, 382.0, 138.0, 0, 204, 204
L -458.0, 382.0, 138.0, -479.0, 382.0, 138.0, 0, 204, 204
L -479.0, 382.0, 138.0, -479.0, 384.9, 138.0, 0, 204, 204
L -479.0, 414.0, 138.0, -442.0, 414.0, 138.0, 0, 204, 204
L -442.0, 414.0, 138.0, -442.0, 446.0, 138.0, 0, 204, 204
L -442.0, 446.0, 138.0, -373.0, 446.0, 138.0, 0, 204, 204
L -373.0, 446.0, 138.0, -373.0, 269.0, 138.0, 0, 204, 204
L -373.0, 269.0, 138.0, -227.0, 269.0, 138.0, 0, 204, 204
L -227.0, 269.0, 138.0, -227.0, 349.4, 138.0, 0, 204, 204
L -227.0, 353.0, 138.0, -133.0, 353.0, 138.0, 0, 204, 204
L -133.0, 353.0, 138.0, -133.0, 559.0, 138.0, 0, 204, 204
L -133.0, 559.0, 138.0, -226.0, 559.0, 138.0, 0, 204, 204
L -226.0, 559.0, 138.0, -226.0, 563.4, 138.0, 0, 204, 204
L -226.0, 622.0, 138.0, -152.0, 622.0, 138.0, 0, 204, 204
L -152.0, 622.0, 138.0, -152.0, 589.0, 138.0, 0, 204, 204
L -152.0, 589.0, 138.0, -122.0, 589.0, 138.0, 0, 204, 204
L -122.0, 589.0, 138.0, -122.0, 622.0, 138.0, 0, 204, 204
L -122.0, 622.0, 138.0, 2.0, 622.0, 138.0, 0, 204, 204
L -135.0, -119.0, 130.0, -135.0, -325.0, 130.0, 0, 204, 204
L -135.0, -325.0, 130.0, -339.0, -325.0, 130.0, 0, 204, 204
L -339.0, -325.0, 130.0, -339.0, -119.0, 130.0, 0, 204, 204
L -339.0, -119.0, 130.0, -246.0, -119.0, 130.0, 0, 204, 204
L -246.0, -119.0, 130.0, -247.0, -56.0, 130.0, 0, 204, 204
L -247.0, -56.0, 130.0, -349.0, -56.0, 130.0, 0, 204, 204
L -349.0, -56.0, 130.0, -349.0, -89.0, 130.0, 0, 204, 204
L -349.0, -89.0, 130.0, -379.0, -89.0, 130.0, 0, 204, 204
L -379.0, -89.0, 130.0, -379.0, -56.0, 130.0, 0, 204, 204
L -379.0, -56.0, 130.0, -404.0, -56.0, 130.0, 0, 204, 204
L -404.0, -56.0, 130.0, -404.0, -98.0, 130.0, 0, 204, 204
L -404.0, -100.0, 130.0, -382.0, -100.0, 130.0, 0, 204, 204
L -382.0, -100.0, 130.0, -382.0, -145.0, 130.0, 0, 204, 204
L -382.0, -145.0, 130.0, -442.0, -145.0, 130.0, 0, 204, 204
L -442.0, -145.0, 130.0, -442.0, -100.0, 130.0, 0, 204, 204
L -421.0, -100.0, 130.0, -421.0, -98.0, 130.0, 0, 204, 204
L -421.0, 2.0, 130.0, -442.0, 2.0, 130.0, 0, 204, 204
L -442.0, 2.0, 130.0, -442.0, 48.0, 130.0, 0, 204, 204
L -442.0, 48.0, 130.0, -382.0, 48.0, 130.0, 0, 204, 204
L -382.0, 48.0, 130.0, -382.0, 2.0, 130.0, 0, 204, 204
L -382.0, 2.0, 130.0, -403.0, 2.0, 130.0, 0, 204, 204
L -403.0, 2.0, 130.0, -403.0, -0.3, 130.0, 0, 204, 204
L -403.0, -40.0, 130.0, -380.0, -40.0, 130.0, 0, 204, 204
L -380.0, -40.0, 130.0, -380.0, -7.0, 130.0, 0, 204, 204
L -380.0, -7.0, 130.0, -372.0, -7.0, 130.0, 0, 204, 204
L -372.0, -7.0, 130.0, -372.0, 61.0, 130.0, 0, 204, 204
L -372.0, 61.0, 130.0, -460.0, 61.0, 130.0, 0, 204, 204
L -460.0, 61.0, 130.0, -460.0, -7.0, 130.0, 0, 204, 204
L -460.0, -7.0, 130.0, -427.0, -7.0, 130.0, 0, 204, 204
L -427.0, -7.0, 130.0, -427.0, -86.0, 130.0, 0, 204, 204
L -427.0, -86.0, 130.0, -460.0, -86.0, 130.0, 0, 204, 204
L -460.0, -86.0, 130.0, -460.0, -213.0, 130.0, 0, 204, 204
L -460.0, -213.0, 130.0, -423.0, -212.0, 130.0, 0, 204, 204
L -423.0, -212.0, 130.0, -423.0, -191.0, 130.0, 0, 204, 204
L -423.0, -191.0, 130.0, -378.0, -191.0, 130.0, 0, 204, 204
L -378.0, -191.0, 130.0, -378.0, -251.0, 130.0, 0, 204, 204
L -378.0, -251.0, 130.0, -423.0, -251.0, 130.0, 0, 204, 204
L -423.0, -251.0, 130.0, -423.0, -230.0, 130.0, 0, 204, 204
L -423.0, -230.0, 130.0, -427.7, -230.0, 130.0, 0, 204, 204
L -531.0, -230.0, 130.0, -531.0, -323.0, 130.0, 0, 204, 204
L -531.0, -323.0, 130.0, -737.0, -323.0, 130.0, 0, 204, 204
L -737.0, -323.0, 130.0, -737.0, -119.0, 130.0, 0, 204, 204
L -737.0, -119.0, 130.0, -531.0, -119.0, 130.0, 0, 204, 204
L -531.0, -119.0, 130.0, -531.0, -212.0, 130.0, 0, 204, 204
L -531.0, -212.0, 130.0, -524.3, -212.0, 130.0, 0, 204, 204
L -476.0, -212.0, 130.0, -475.0, -88.0, 130.0, 0, 204, 204
L -475.0, -88.0, 130.0, -509.0, -88.0, 130.0, 0, 204, 204
L -509.0, -88.0, 130.0, -509.0, -7.0, 130.0, 0, 204, 204
L -509.0, -7.0, 130.0, -475.0, -7.0, 130.0, 0, 204, 204
L -475.0, -7.0, 130.0, -476.0, 77.0, 130.0, 0, 204, 204
L -476.0, 77.0, 130.0, -372.0, 77.0, 130.0, 0, 204, 204
L -372.0, 77.0, 130.0, -373.0, 104.0, 130.0, 0, 204, 204
L -373.0, 104.0, 130.0, -394.0, 104.0, 130.0, 0, 204, 204
L -394.0, 104.0, 130.0, -394.0, 149.0, 130.0, 0, 204, 204
L -394.0, 149.0, 130.0, -335.0, 149.0, 130.0, 0, 204, 204
L -335.0, 149.0, 130.0, -335.0, 104.0, 130.0, 0, 204, 204
L -335.0, 104.0, 130.0, -356.0, 104.0, 130.0, 0, 204, 204
L -356.0, 104.0, 130.0, -356.0, 102.0, 130.0, 0, 204, 204
L -356.0, -7.0, 130.0, -349.0, -7.0, 130.0, 0, 204, 204
L -349.0, -7.0, 130.0, -349.0, -40.0, 130.0, 0, 204, 204
L -349.0, -40.0, 130.0, -138.0, -40.0, 130.0, 0, 204, 204
L -138.0, -40.0, 130.0, -138.0, -7.0, 130.0, 0, 204, 204
L -138.0, -7.0, 130.0, -107.0, -7.0, 130.0, 0, 204, 204
L -107.0, -7.0, 130.0, -107.0, -40.0, 130.0, 0, 204, 204
L -107.0, -40.0, 130.0, -83.0, -40.0, 130.0, 0, 204, 204
L -83.0, -40.0, 130.0, -84.0, 2.0, 130.0, 0, 204, 204
L -84.0, 2.0, 130.0, -105.0, 2.0, 130.0, 0, 204, 204
L -105.0, 2.0, 130.0, -105.0, 48.0, 130.0, 0, 204, 204
L -105.0, 48.0, 130.0, -85.0, 48.0, 130.0, 0, 204, 204
L -85.0, 86.0, 130.0, -178.0, 86.0, 130.0, 0, 204, 204
L -178.0, 86.0, 130.0, -178.0, 292.0, 130.0, 0, 204, 204
L -178.0, 292.0, 130.0, 25.0, 292.0, 130.0, 0, 204, 204
L 25.0, 292.0, 130.0, 25.0, 86.0, 130.0, 0, 204, 204
L 25.0, 86.0, 130.0, -67.0, 86.0, 130.0, 0, 204, 204
L -67.0, 86.0, 130.0, -67.0, 84.1, 130.0, 0, 204, 204
L -67.0, 48.0, 130.0, -45.0, 48.0, 130.0, 0, 204, 204
L -45.0, 48.0, 130.0, -45.0, 2.0, 130.0, 0, 204, 204
L -45.0, 2.0, 130.0, -66.0, 2.0, 130.0, 0, 204, 204
L -66.0, 2.0, 130.0, -66.0, -0.1, 130.0, 0, 204, 204
L -66.0, -99.0, 130.0, -45.0, -99.0, 130.0, 0, 204, 204
L -45.0, -99.0, 130.0, -45.0, -145.0, 130.0, 0, 204, 204
L -45.0, -145.0, 130.0, -105.0, -145.0, 130.0, 0, 204, 204
L -105.0, -145.0, 130.0, -105.0, -99.0, 130.0, 0, 204, 204
L -105.0, -99.0, 130.0, -84.0, -99.0, 130.0, 0, 204, 204
L -84.0, -99.0, 130.0, -84.0, -96.4, 130.0, 0, 204, 204
L -84.0, -56.0, 130.0, -107.0, -56.0, 130.0, 0, 204, 204
L -107.0, -56.0, 130.0, -107.0, -89.0, 130.0, 0, 204, 204
L -107.0, -89.0, 130.0, -138.0, -89.0, 130.0, 0, 204, 204
L -138.0, -89.0, 130.0, -138.0, -56.0, 130.0, 0, 204, 204
L -138.0, -56.0, 130.0, -229.0, -56.0, 130.0, 0, 204, 204
L -229.0, -56.0, 130.0, -228.0, -119.0, 130.0, 0, 204, 204
L -228.0, -119.0, 130.0, -135.0, -119.0, 130.0, 0, 204, 204
L -531.0, -119.0, 256.0, -737.0, -119.0, 256.0, 0, 204, 0
L -737.0, -119.0, 256.0, -737.0, -323.0, 256.0, 0, 204, 0
L -737.0, -323.0, 256.0, -531.0, -323.0, 256.0, 0, 204, 0
L -531.0, -323.0, 256.0, -531.0, -230.0, 256.0, 0, 204, 0
L -531.0, -230.0, 256.0, -523.7, -230.0, 256.0, 0, 204, 0
L -408.0, -230.0, 256.0, -409.0, -247.0, 256.0, 0, 204, 0
L -409.0, -247.0, 256.0, -430.0, -247.0, 256.0, 0, 204, 0
L -430.0, -247.0, 256.0, -430.0, -293.0, 256.0, 0, 204, 0
L -430.0, -293.0, 256.0, -370.0, -293.0, 256.0, 0, 204, 0
L -370.0, -293.0, 256.0, -370.0, -247.0, 256.0, 0, 204, 0
L -392.0, -213.0, 256.0, -413.0, -213.0, 256.0, 0, 204, 0
L -413.0, -213.0, 256.0, -412.0, -140.0, 256.0, 0, 204, 0
L -412.0, -140.0, 256.0, -363.0, -140.0, 256.0, 0, 204, 0
L -363.0, -140.0, 256.0, -363.0, 2.0, 256.0, 0, 204, 0
L -363.0, 2.0, 256.0, -411.0, 2.0, 256.0, 0, 204, 0
L -411.0, 2.0, 256.0, -411.0, 5.7, 256.0, 0, 204, 0
L -411.0, 45.0, 256.0, -363.0, 45.0, 256.0, 0, 204, 0
L -363.0, 45.0, 256.0, -363.0, 188.0, 264.0, 0, 204, 0
L -363.0, 188.0, 264.0, -477.0, 188.0, 264.0, 0, 204, 0
L -477.0, 188.0, 264.0, -477.0, 45.0, 256.0, 0, 204, 0
L -477.0, 45.0, 256.0, -429.0, 45.0, 256.0, 0, 204, 0
L -429.0, 45.0, 256.0, -429.0, 40.8, 256.0, 0, 204, 0
L -429.0, 2.0, 256.0, -477.0, 2.0, 256.0, 0, 204, 0
L -477.0, 2.0, 256.0, -477.0, -140.0, 256.0, 0, 204, 0
L -477.0, -140.0, 256.0, -430.0, -140.0, 256.0, 0, 204, 0
L -430.0, -140.0, 256.0, -430.0, -142.6, 256.0, 0, 204, 0
L -430.0, -213.0, 256.0, -531.0, -212.0, 256.0, 0, 204, 0
L -531.0, -212.0, 256.0, -531.0, -119.0, 256.0, 0, 204, 0
L -178.0, 86.0, 249.0, -85.0, 86.0, 249.0, 0, 204, 0
L -85.0, 86.0, 249.0, -85.0, 83.5, 249.0, 0, 204, 0
L -126.0, 10.0, 249.0, -126.0, 27.0, 249.0, 0, 204, 0
L -126.0, 27.0, 249.0, -142.0, 27.0, 249.0, 0, 204, 0
L -142.0, 27.0, 249.0, -142.0, 34.0, 249.0, 0, 204, 0
L -142.0, 48.0, 249.0, -153.0, 48.0, 249.0, 0, 204, 0
L -273.0, 48.0, 249.0, -273.0, 34.0, 249.0, 0, 204, 0
L -273.0, 27.0, 249.0, -289.0, 27.0, 249.0, 0, 204, 0
L -289.0, 27.0, 249.0, -289.0, 10.0, 249.0, 0, 204, 0
L -289.0, 10.0, 249.0, -348.0, 9.0, 249.0, 0, 204, 0
L -348.0, 9.0, 249.0, -348.0, -80.0, 249.0, 0, 204, 0
L -348.0, -80.0, 249.0, -289.0, -81.0, 249.0, 0, 204, 0
L -289.0, -81.0, 249.0, -289.0, -102.0, 249.0, 0, 204, 0
L -289.0, -102.0, 249.0, -265.0, -102.0, 249.0, 0, 204, 0
L -265.0, -102.0, 249.0, -265.0, -104.2, 249.0, 0, 204, 0
L -265.0, -160.0, 249.0, -283.0, -160.0, 249.0, 0, 204, 0
L -283.0, -160.0, 249.0, -352.0, -230.0, 249.0, 0, 204, 0
L -352.0, -230.0, 249.0, -352.0, -283.0, 249.0, 0, 204, 0
L -352.0, -283.0, 249.0, -283.0, -353.0, 249.0, 0, 204, 0
L -283.0, -353.0, 249.0, -229.0, -353.0, 249.0, 0, 204, 0
L -229.0, -353.0, 249.0, -160.0, -283.0, 249.0, 0, 204, 0
L -160.0, -283.0, 249.0, -160.0, -230.0, 249.0, 0, 204, 0
L -160.0, -230.0, 249.0, -229.0, -160.0, 249.0, 0, 204, 0
L -229.0, -160.0, 249.0, -247.0, -160.0, 249.0, 0, 204, 0
L -247.0, -160.0, 249.0, -247.0, -155.9, 249.0, 0, 204, 0
L -247.0, -102.0, 249.0, -223.0, -102.0, 249.0, 0, 204, 0
L -223.0, -102.0, 249.0, -223.0, -42.0, 249.0, 0, 204, 0
L -223.0, -42.0, 249.0, -289.0, -42.0, 249.0, 0, 204, 0
L -289.0, -42.0, 249.0, -289.0, -63.0, 249.0, 0, 204, 0
L -289.0, -63.0, 249.0, -332.0, -62.0, 249.0, 0, 204, 0
L -332.0, -62.0, 249.0, -332.0, -6.0, 249.0, 0, 204, 0
L -332.0, -6.0, 249.0, -289.0, -7.0, 249.0, 0, 204, 0
L -289.0, -7.0, 249.0, -289.0, -33.0, 249.0, 0, 204, 0
L -289.0, -33.0, 249.0, -126.0, -33.0, 249.0, 0, 204, 0
L -126.0, -33.0, 249.0, -126.0, -7.0, 249.0, 0, 204, 0
L -85.0, -63.0, 249.0, -134.0, -62.0, 249.0, 0, 204, 0
L -85.0, -281.0, 249.0, -123.0, -281.0, 249.0, 0, 204, 0
L -123.0, -281.0, 249.0, -192.0, -351.0, 249.0, 0, 204, 0
L -192.0, -351.0, 249.0, -192.0, -444.0, 249.0, 0, 204, 0
L -192.0, -444.0, 249.0, -123.0, -514.0, 249.0, 0, 204, 0
L -123.0, -514.0, 249.0, -29.0, -514.0, 249.0, 0, 204, 0
L -29.0, -514.0, 249.0, 39.0, -444.0, 249.0, 0, 204, 0
L 39.0, -444.0, 249.0, 39.0, -351.0, 249.0, 0, 204, 0
