P 0, 300, 0, 0, 0, 0, 2, Original_Map:_Goodurden_<RoI>
P 0, 500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule/Fennin_Ro)
P 0, 700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 0, 900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
P 0, 1100, 0, 0, 0, 0, 2, Height_Filter:_12/13
P 100, -550, 51, 0, 127, 0, 2, 4th_Floor
P 100, -525, 43, 0, 255, 255, 2, 3rd_Floor
P 100, -500, 16, 0, 255, 0, 2, 2nd_Floor
P 100, -475, 2, 0, 0, 0, 2, 1st_Floor
P 100, -450, -16, 127, 0, 0, 2, Basement
L 107.0, -680.0, 4.0, 79.0, -652.0, 4.0, 0, 0, 0
L 79.0, -652.0, 4.0, 50.0, -652.0, 4.0, 0, 0, 0
L 50.0, -652.0, 4.0, 22.0, -680.0, 4.0, 0, 0, 0
L 22.0, -680.0, 4.0, 22.0, -692.0, 4.0, 0, 0, 0
L 22.0, -692.0, 4.0, 17.0, -692.0, 4.0, 0, 0, 0
L 17.0, -692.0, 4.0, 17.0, -662.0, 4.0, 0, 0, 0
L 17.0, -662.0, 4.0, 2.0, -662.0, 4.0, 0, 0, 0
L 2.0, -662.0, 4.0, 2.0, -692.0, 4.0, 0, 0, 0
L 2.0, -692.0, 4.0, -2.0, -692.0, 4.0, 0, 0, 0
L -17.0, -692.0, 4.0, -50.0, -692.0, 4.0, 0, 0, 0
L -50.0, -692.0, 4.0, -50.0, -686.0, 4.0, 0, 0, 0
L -50.0, -686.0, 4.0, -47.0, -686.0, 4.0, 0, 0, 0
L -47.0, -686.0, 4.0, -46.0, -688.0, 4.0, 0, 0, 0
L -46.0, -688.0, 4.0, -20.0, -688.0, 4.0, 0, 0, 0
L -20.0, -688.0, 4.0, -20.0, -670.0, 4.0, 0, 0, 0
L -20.0, -670.0, 4.0, -22.0, -670.0, 4.0, 0, 0, 0
L -22.0, -670.0, 4.0, -22.0, -656.0, 4.0, 0, 0, 0
L -22.0, -656.0, 4.0, -31.0, -656.0, 4.0, 0, 0, 0
L -31.0, -656.0, 4.0, -31.0, -670.0, 4.0, 0, 0, 0
L -31.0, -670.0, 4.0, -47.0, -670.0, 4.0, 0, 0, 0
L -47.0, -670.0, 4.0, -47.0, -672.0, 4.0, 0, 0, 0
L -47.0, -672.0, 4.0, -50.0, -672.0, 4.0, 0, 0, 0
L -50.0, -672.0, 4.0, -50.0, -666.0, 4.0, 0, 0, 0
L -50.0, -666.0, 4.0, -34.0, -666.0, 2.0, 0, 0, 0
L -34.0, -666.0, 2.0, -34.0, -620.0, 2.0, 0, 0, 0
L -34.0, -620.0, 2.0, -4.0, -620.0, 2.0, 0, 0, 0
L -4.0, -620.0, 2.0, -4.0, -624.0, 2.0, 0, 0, 0
L -29.0, -624.0, 2.0, -29.0, -646.0, 2.0, 0, 0, 0
L -29.0, -646.0, 2.0, 16.0, -646.0, 2.0, 0, 0, 0
L 16.0, -646.0, 2.0, 17.0, -640.0, 2.0, 0, 0, 0
L 17.0, -640.0, 2.0, 20.0, -640.0, 2.0, 0, 0, 0
L 20.0, -646.0, 2.0, 20.0, -640.0, 2.0, 0, 0, 0
L 20.0, -646.0, 2.0, 43.0, -646.0, 2.0, 0, 0, 0
L 43.0, -646.0, 2.0, 43.0, -624.0, 2.0, 0, 0, 0
L 43.0, -624.0, 2.0, 20.0, -624.0, 2.0, 0, 0, 0
L 20.0, -624.0, 2.0, 20.0, -630.0, 2.0, 0, 0, 0
L 20.0, -630.0, 2.0, 17.0, -630.0, 2.0, 0, 0, 0
L 17.0, -624.0, 2.0, 17.0, -630.0, 2.0, 0, 0, 0
L 17.0, -624.0, 2.0, 4.0, -624.0, 2.0, 0, 0, 0
L 4.0, -624.0, 2.0, 4.0, -620.0, 2.0, 0, 0, 0
L 4.0, -620.0, 2.0, 47.0, -620.0, 2.0, 0, 0, 0
L 47.0, -620.0, 2.0, 47.0, -606.0, 2.0, 0, 0, 0
L 47.0, -606.0, 2.0, 50.0, -606.0, 2.0, 0, 0, 0
L 50.0, -606.0, 2.0, 50.0, -616.0, 2.0, 0, 0, 0
L 50.0, -616.0, 2.0, 67.0, -616.0, 2.0, 0, 0, 0
L 67.0, -580.0, 2.0, 50.0, -580.0, 2.0, 0, 0, 0
L 50.0, -580.0, 2.0, 50.0, -598.0, 2.0, 0, 0, 0
L 67.0, -616.0, 2.0, 67.0, -580.0, 2.0, 0, 0, 0
L 50.0, -598.0, 2.0, 47.0, -598.0, 2.0, 0, 0, 0
L 47.0, -598.0, 2.0, 47.0, -558.0, 2.0, 0, 0, 0
L 50.0, -558.0, 2.0, 48.0, -558.0, 2.0, 0, 0, 0
L 50.0, -558.0, 2.0, 50.0, -572.0, 2.0, 0, 0, 0
L 50.0, -572.0, 2.0, 67.0, -572.0, 2.0, 0, 0, 0
L 67.0, -572.0, 2.0, 67.0, -530.0, 2.0, 0, 0, 0
L 67.0, -530.0, 2.0, 50.0, -530.0, 2.0, 0, 0, 0
L 50.0, -530.0, 2.0, 50.0, -550.0, 2.0, 0, 0, 0
L 50.0, -550.0, 2.0, 48.0, -550.0, 2.0, 0, 0, 0
L 47.0, -550.0, 2.0, 46.0, -506.0, 2.0, 0, 0, 0
L 46.0, -506.0, 2.0, 58.0, -506.0, 2.0, 0, 0, 0
L 58.0, -506.0, 2.0, 58.0, -510.0, 2.0, 0, 0, 0
L 58.0, -510.0, 2.0, 50.0, -510.0, 2.0, 0, 0, 0
L 50.0, -510.0, 2.0, 50.0, -526.0, 2.0, 0, 0, 0
L 50.0, -526.0, 2.0, 67.0, -526.0, 2.0, 0, 0, 0
L 67.0, -526.0, 2.0, 66.0, -506.0, 2.0, 0, 0, 0
L 66.0, -506.0, 2.0, 75.0, -506.0, 2.0, 0, 0, 0
L 75.0, -506.0, 2.0, 75.0, -484.0, 2.0, 0, 0, 0
L 75.0, -484.0, 2.0, 52.0, -484.0, 2.0, 0, 0, 0
L 52.0, -484.0, 2.0, 52.0, -496.0, 2.0, 0, 0, 0
L 52.0, -496.0, 2.0, 47.0, -496.0, 2.0, 0, 0, 0
L 47.0, -494.0, 2.0, 47.0, -496.0, 2.0, 0, 0, 0
L 47.0, -494.0, 2.0, 9.0, -494.0, 2.0, 0, 0, 0
L 9.0, -488.0, 4.0, 9.0, -491.0, 3.0, 0, 0, 0
L -9.0, -488.0, 4.0, -9.0, -491.0, 3.0, 0, 0, 0
L -9.0, -494.0, 2.0, -47.0, -494.0, 2.0, 0, 0, 0
L -47.0, -494.0, 2.0, -47.0, -496.0, 2.0, 0, 0, 0
L -47.0, -496.0, 2.0, -52.0, -496.0, 2.0, 0, 0, 0
L -52.0, -496.0, 2.0, -52.0, -484.0, 2.0, 0, 0, 0
L -52.0, -484.0, 2.0, -75.0, -484.0, 2.0, 0, 0, 0
L -75.0, -484.0, 2.0, -75.0, -506.0, 2.0, 0, 0, 0
L -47.0, -506.0, 2.0, -75.0, -506.0, 2.0, 0, 0, 0
L -47.0, -506.0, 2.0, -47.0, -534.0, 2.0, 0, 0, 0
L -47.0, -534.0, 2.0, -48.0, -534.0, 2.0, 0, 0, 0
L -50.0, -534.0, 2.0, -50.0, -510.0, 2.0, 0, 0, 0
L -50.0, -510.0, 2.0, -67.0, -510.0, 2.0, 0, 0, 0
L -67.0, -510.0, 2.0, -67.0, -542.0, 2.0, 0, 0, 0
L -67.0, -542.0, 2.0, -48.0, -542.0, 2.0, 0, 0, 0
L -47.0, -542.0, 2.0, -47.0, -578.0, 2.0, 0, 0, 0
L -47.0, -578.0, 2.0, -48.0, -578.0, 2.0, 0, 0, 0
L -50.0, -578.0, 2.0, -50.0, -562.0, 2.0, 0, 0, 0
L -50.0, -562.0, 2.0, -58.0, -562.0, 2.0, 0, 0, 0
L -58.0, -562.0, 2.0, -58.0, -558.0, 2.0, 0, 0, 0
L -58.0, -558.0, 2.0, -50.0, -558.0, 2.0, 0, 0, 0
L -50.0, -558.0, 2.0, -50.0, -548.0, 2.0, 0, 0, 0
L -50.0, -548.0, 2.0, -67.0, -548.0, 2.0, 0, 0, 0
L -67.0, -548.0, 2.0, -67.0, -600.0, 2.0, 0, 0, 0
L -65.0, -600.0, 2.0, -65.0, -601.0, 2.0, 0, 0, 0
L -50.0, -600.0, 2.0, -50.0, -586.0, 2.0, 0, 0, 0
L -50.0, -586.0, 2.0, -48.0, -586.0, 2.0, 0, 0, 0
L -47.0, -586.0, 2.0, -47.0, -652.0, 4.0, 0, 0, 0
L -47.0, -652.0, 4.0, -97.0, -652.0, 4.0, 0, 0, 0
L -97.0, -652.0, 4.0, -97.0, -670.0, 4.0, 0, 0, 0
L -101.0, -688.0, 4.0, -102.0, -688.0, 4.0, 0, 0, 0
L -101.0, -670.0, 4.0, -97.0, -670.0, 4.0, 0, 0, 0
L -101.0, -688.0, 4.0, -101.0, -670.0, 4.0, 255, 165, 0
L -4.0, -624.0, 2.0, -29.0, -624.0, 2.0, 0, 0, 0
L 4.0, -608.0, 2.0, 4.0, -602.0, 0.0, 0, 0, 0
L 4.0, -602.0, 0.0, 31.0, -602.0, 0.0, 0, 0, 0
L 31.0, -602.0, 0.0, 31.0, -544.0, 2.0, 0, 0, 0
L 31.0, -544.0, 2.0, 34.0, -544.0, 2.0, 0, 0, 0
L 34.0, -544.0, 2.0, 34.0, -608.0, 2.0, 0, 0, 0
L 34.0, -608.0, 2.0, 4.0, -608.0, 2.0, 0, 0, 0
L -4.0, -608.0, 2.0, -4.0, -602.0, 0.0, 0, 0, 0
L -4.0, -602.0, 0.0, -31.0, -602.0, 0.0, 0, 0, 0
L -31.0, -602.0, 0.0, -31.0, -544.0, 0.0, 0, 0, 0
L -31.0, -544.0, 0.0, -34.0, -544.0, 2.0, 0, 0, 0
L -34.0, -544.0, 2.0, -34.0, -608.0, 2.0, 0, 0, 0
L -34.0, -608.0, 2.0, -4.0, -608.0, 2.0, 0, 0, 0
L 34.0, -534.0, 0.0, 9.0, -534.0, 0.0, 0, 0, 0
L 34.0, -518.0, 16.0, 34.0, -522.0, 16.0, 0, 255, 0
L 34.0, -534.0, 0.0, 34.0, -514.0, 2.0, 0, 0, 0
L 34.0, -514.0, 2.0, -34.0, -514.0, 2.0, 0, 0, 0
L -67.0, -600.0, 2.0, -65.0, -600.0, 2.0, 0, 0, 0
L -65.0, -600.0, 2.0, -52.0, -600.0, 2.0, 240, 240, 0
L -50.0, -600.0, 2.0, -52.0, -600.0, 2.0, 0, 0, 0
L -52.0, -600.0, 2.0, -52.0, -601.0, 2.0, 0, 0, 0
L -50.0, -604.0, 2.0, -52.0, -604.0, 2.0, 0, 0, 0
L -67.0, -604.0, 2.0, -65.0, -604.0, 2.0, 0, 0, 0
L -67.0, -604.0, 2.0, -67.0, -610.0, 2.0, 0, 0, 0
L -17.0, -650.0, 20.0, 0.0, -650.0, 20.0, 0, 255, 0
L 0.0, -650.0, 20.0, 0.0, -646.0, 18.0, 0, 255, 0
L 0.0, -646.0, 18.0, -22.0, -646.0, 18.0, 0, 255, 0
L -22.0, -646.0, 18.0, -22.0, -647.0, 18.0, 0, 255, 0
L -20.0, -652.0, 18.0, -22.0, -652.0, 18.0, 0, 255, 0
L -20.0, -652.0, 18.0, -20.0, -706.0, 18.0, 0, 255, 0
L -20.0, -706.0, 18.0, -49.0, -706.0, 18.0, 0, 255, 0
L -49.0, -706.0, 18.0, -48.0, -694.0, 18.0, 0, 255, 0
L -48.0, -694.0, 18.0, -70.0, -694.0, 18.0, 0, 255, 0
L -70.0, -698.0, 18.0, -70.0, -694.0, 18.0, 0, 255, 0
L -47.0, -694.0, 32.0, -46.0, -694.0, 32.0, 0, 255, 255
L -47.0, -694.0, 32.0, -48.0, -676.0, 32.0, 0, 255, 255
L -48.0, -676.0, 32.0, -47.0, -676.0, 32.0, 0, 255, 255
L -47.0, -676.0, 32.0, -47.0, -672.0, 32.0, 0, 255, 255
L -48.0, -672.0, 32.0, -47.0, -672.0, 32.0, 0, 255, 255
L -48.0, -672.0, 32.0, -48.0, -654.0, 32.0, 0, 255, 255
L -48.0, -654.0, 32.0, -46.0, -654.0, 32.0, 0, 255, 255
L -47.0, -652.0, 32.0, -46.0, -654.0, 32.0, 0, 255, 255
L -47.0, -652.0, 32.0, -20.0, -652.0, 32.0, 0, 255, 255
L -20.0, -652.0, 32.0, -20.0, -706.0, 32.0, 0, 255, 255
L -20.0, -706.0, 32.0, -49.0, -706.0, 32.0, 0, 255, 255
L -49.0, -706.0, 32.0, -50.1, -706.0, 31.1, 0, 255, 255
L -97.0, -706.0, 18.0, -97.0, -676.0, 18.0, 0, 255, 0
L -97.0, -676.0, 18.0, -97.0, -670.0, 18.0, 0, 255, 0
L -97.0, -676.0, 18.0, -73.0, -676.0, 18.0, 0, 255, 0
L -73.0, -676.0, 18.0, -73.0, -670.0, 18.0, 0, 255, 0
L -97.0, -670.0, 18.0, -97.0, -652.0, 18.0, 0, 255, 0
L -73.0, -670.0, 18.0, -97.0, -670.0, 18.0, 0, 255, 0
L -97.0, -652.0, 18.0, -31.0, -652.0, 18.0, 0, 255, 0
L -31.0, -652.0, 18.0, -31.0, -647.0, 18.0, 0, 255, 0
L -31.0, -646.0, 18.0, -49.0, -646.0, 16.0, 0, 255, 0
L -49.0, -634.0, 16.0, -50.0, -634.0, 16.0, 0, 255, 0
L -52.0, -634.0, 16.0, -52.0, -608.0, 16.0, 0, 255, 0
L -52.0, -608.0, 16.0, -67.0, -608.0, 16.0, 0, 255, 0
L -67.0, -646.0, 16.0, -52.0, -646.0, 16.0, 0, 255, 0
L -52.0, -646.0, 16.0, -52.0, -642.0, 16.0, 0, 255, 0
L -49.0, -634.0, 16.0, -49.0, -608.0, 16.0, 0, 255, 0
L -49.0, -608.0, 16.0, -45.0, -608.0, 16.0, 0, 255, 0
L -45.0, -608.0, 16.0, -45.0, -600.0, 16.0, 0, 255, 0
L -49.0, -584.0, 16.0, -56.0, -584.0, 16.0, 0, 255, 0
L -56.0, -584.0, 16.0, -56.0, -586.0, 16.0, 0, 255, 0
L -54.0, -588.0, 16.0, -56.0, -588.0, 16.0, 0, 255, 0
L -67.0, -538.0, 16.0, -52.0, -538.0, 16.0, 0, 255, 0
L -52.0, -538.0, 16.0, -52.0, -554.0, 16.0, 0, 255, 0
L -52.0, -554.0, 16.0, -49.0, -554.0, 16.0, 0, 255, 0
L -49.0, -554.0, 16.0, -49.0, -538.0, 16.0, 0, 255, 0
L -49.0, -538.0, 16.0, -43.0, -538.0, 16.0, 0, 255, 0
L -43.0, -538.0, 16.0, -43.0, -534.0, 16.0, 0, 255, 0
L -43.0, -534.0, 16.0, -67.0, -534.0, 16.0, 0, 255, 0
L -67.0, -518.0, 16.0, -64.0, -518.0, 16.0, 0, 255, 0
L -34.0, -518.0, 16.0, -52.0, -518.0, 16.0, 0, 255, 0
L -52.0, -518.0, 16.0, -52.0, -506.0, 16.0, 0, 255, 0
L -49.0, -510.0, 16.0, -49.0, -506.0, 16.0, 0, 255, 0
L -52.0, -506.0, 16.0, -50.0, -506.0, 16.0, 0, 255, 0
L -49.0, -498.0, 16.0, -50.0, -498.0, 16.0, 0, 255, 0
L -49.0, -498.0, 16.0, -49.0, -492.0, 16.0, 0, 255, 0
L -49.0, -492.0, 16.0, -42.0, -492.0, 16.0, 0, 255, 0
L -42.0, -492.0, 16.0, -42.0, -510.0, 16.0, 0, 255, 0
L -42.0, -510.0, 16.0, -49.0, -510.0, 16.0, 0, 255, 0
L -52.0, -498.0, 16.0, -52.0, -492.0, 16.0, 0, 255, 0
L -52.0, -492.0, 16.0, -64.0, -492.0, 16.0, 0, 255, 0
L -34.0, -608.0, 16.0, 54.0, -608.0, 16.0, 0, 255, 0
L 54.0, -608.0, 16.0, 54.0, -602.0, 16.0, 0, 255, 0
L 54.0, -602.0, 16.0, 50.0, -602.0, 16.0, 0, 255, 0
L 48.0, -602.0, 20.0, 48.0, -600.0, 20.0, 0, 255, 255
L 27.0, -600.0, 44.0, 27.0, -624.0, 44.0, 0, 255, 255
L 27.0, -624.0, 44.0, -27.0, -624.0, 44.0, 0, 255, 255
L -27.0, -624.0, 44.0, -27.0, -587.0, 44.0, 0, 255, 255
L -27.0, -550.0, 44.0, -4.0, -550.0, 44.0, 0, 255, 255
L -4.0, -550.0, 44.0, -4.0, -548.0, 44.0, 0, 255, 255
L -4.0, -544.0, 44.0, -7.0, -544.0, 44.0, 0, 255, 255
L -7.0, -546.0, 44.0, -7.0, -544.0, 44.0, 0, 255, 255
L -7.0, -546.0, 44.0, -30.0, -546.0, 44.0, 0, 255, 255
L -30.0, -546.0, 44.0, -30.0, -632.0, 44.0, 0, 255, 255
L -30.0, -632.0, 44.0, 30.0, -632.0, 44.0, 0, 255, 255
L 30.0, -632.0, 44.0, 30.0, -546.0, 44.0, 0, 255, 255
L 30.0, -546.0, 44.0, 7.0, -546.0, 44.0, 0, 255, 255
L 7.0, -544.0, 44.0, 4.0, -544.0, 44.0, 0, 255, 255
L 4.0, -544.0, 44.0, 4.0, -548.0, 44.0, 0, 255, 255
L 7.0, -546.0, 44.0, 7.0, -544.0, 44.0, 0, 255, 255
L 47.0, -512.0, 44.0, 47.0, -646.0, 44.0, 0, 255, 255
L 47.0, -646.0, 44.0, -46.0, -646.0, 44.0, 0, 255, 255
L -46.0, -646.0, 44.0, -47.0, -512.0, 44.0, 0, 255, 255
L -47.0, -512.0, 44.0, 47.0, -512.0, 44.0, 0, 255, 255
L -4.0, -548.0, 44.0, -4.0, -544.0, 44.0, 0, 255, 255
L 4.0, -550.0, 44.0, 27.0, -550.0, 44.0, 0, 255, 255
L 27.0, -550.0, 44.0, 27.0, -584.0, 44.0, 0, 255, 255
L 27.0, -584.0, 44.0, -18.0, -584.0, 44.0, 0, 255, 255
L -18.0, -584.0, 44.0, -18.0, -587.0, 44.0, 0, 255, 255
L -18.0, -590.0, 44.0, 14.0, -590.0, 44.0, 0, 255, 255
L 14.0, -590.0, 44.0, 18.2, -590.0, 41.0, 0, 255, 255
L 48.0, -588.0, 20.0, 48.0, -590.0, 20.0, 0, 255, 255
L 54.0, -552.0, 16.0, 52.0, -552.0, 16.0, 0, 255, 0
L 51.0, -552.0, 16.0, 50.0, -578.0, 16.0, 0, 255, 0
L 50.0, -578.0, 16.0, 34.0, -578.0, 16.0, 0, 255, 0
L 34.0, -578.0, 16.0, 34.0, -538.0, 16.0, 0, 255, 0
L 34.0, -538.0, 16.0, 51.0, -538.0, 16.0, 0, 255, 0
L 51.0, -538.0, 16.0, 51.0, -544.0, 16.0, 0, 255, 0
L 54.0, -544.0, 16.0, 52.0, -544.0, 16.0, 0, 255, 0
L 54.0, -544.0, 16.0, 54.0, -534.0, 16.0, 0, 255, 0
L 54.0, -534.0, 16.0, 34.0, -534.0, 16.0, 0, 255, 0
L 66.0, -518.0, 16.0, 67.0, -646.0, 16.0, 0, 255, 0
L 67.0, -646.0, 16.0, 17.0, -646.0, 18.0, 0, 255, 0
L 17.0, -660.0, 20.0, -2.0, -660.0, 20.0, 150, 150, 150
L 64.0, -506.0, 16.0, 77.0, -506.0, 16.0, 0, 255, 0
L 52.0, -506.0, 41.0, 77.0, -506.0, 41.0, 0, 255, 255
L 52.0, -492.0, 16.0, 52.0, -518.0, 16.0, 0, 255, 0
L 52.0, -518.0, 16.0, 34.0, -518.0, 16.0, 0, 255, 0
L -17.0, -650.0, 20.0, -17.0, -660.0, 20.0, 0, 255, 0
L 19.0, -692.0, 36.0, 17.0, -692.0, 36.0, 0, 255, 255
L 19.0, -692.0, 36.0, 19.0, -696.0, 36.0, 0, 255, 255
L 19.0, -696.0, 36.0, 20.0, -696.0, 36.0, 0, 255, 255
L 22.0, -696.0, 36.0, 22.0, -684.0, 36.0, 0, 255, 255
L 22.0, -684.0, 36.0, 22.0, -680.0, 36.0, 0, 255, 255
L 22.0, -684.0, 36.0, 36.0, -684.0, 36.0, 205, 133, 63
L 36.0, -684.0, 36.0, 50.0, -670.0, 36.0, 205, 133, 63
L 22.0, -680.0, 36.0, 24.0, -678.0, 36.0, 0, 255, 255
L 50.0, -652.0, 36.0, 79.0, -652.0, 36.0, 0, 255, 255
L 79.0, -652.0, 36.0, 106.0, -680.0, 36.0, 0, 255, 255
L 107.0, -680.0, 36.0, 107.0, -709.0, 36.0, 0, 255, 255
L 106.0, -709.0, 36.0, 79.0, -736.0, 36.0, 0, 255, 255
L 50.0, -736.0, 36.0, 22.0, -709.0, 36.0, 0, 255, 255
L 79.0, -736.0, 36.0, 50.0, -736.0, 36.0, 0, 255, 255
L 22.0, -709.0, 36.0, 22.0, -704.0, 36.0, 0, 255, 255
L 19.0, -704.0, 36.0, 20.0, -704.0, 36.0, 0, 255, 255
L 50.0, -670.0, 36.0, 50.0, -662.0, 36.0, 205, 133, 63
L 50.0, -662.0, 36.0, 45.0, -662.0, 36.0, 205, 133, 63
L 45.0, -662.0, 36.0, 45.0, -669.0, 36.0, 205, 133, 63
L 45.0, -669.0, 36.0, 35.0, -678.0, 36.0, 205, 133, 63
L 24.0, -678.0, 36.0, 50.0, -652.0, 36.0, 0, 255, 255
L 35.0, -678.0, 36.0, 24.0, -678.0, 36.0, 205, 133, 63
L 19.0, -706.0, 36.0, 19.0, -704.0, 36.0, 0, 255, 255
L -19.0, -706.0, 36.0, 19.0, -706.0, 36.0, 0, 255, 255
L -2.0, -692.0, 36.0, 17.0, -692.0, 36.0, 150, 150, 150
L -17.0, -650.0, 52.0, 17.0, -650.0, 52.0, 0, 127, 0
L 17.0, -650.0, 52.0, 17.0, -696.0, 52.0, 0, 127, 0
L -2.0, -660.0, 52.0, 2.0, -660.0, 52.0, 0, 127, 0
L 2.0, -660.0, 52.0, 2.0, -692.0, 52.0, 0, 127, 0
L 0.0, -692.0, 52.0, 2.0, -692.0, 52.0, 0, 127, 0
L 0.0, -692.0, 52.0, 0.0, -706.0, 52.0, 0, 127, 0
L 0.0, -706.0, 52.0, 19.5, -706.0, 52.0, 0, 127, 0
L 17.0, -696.0, 52.0, 19.5, -696.0, 52.0, 0, 127, 0
L 22.0, -696.0, 52.0, 22.0, -680.0, 52.0, 0, 127, 0
L 22.0, -680.0, 52.0, 50.0, -654.0, 52.0, 0, 127, 0
L 50.0, -654.0, 52.0, 79.0, -654.0, 52.0, 0, 127, 0
L 105.0, -680.0, 52.0, 79.0, -654.0, 52.0, 0, 127, 0
L 105.0, -680.0, 52.0, 105.0, -709.0, 52.0, 0, 127, 0
L 105.0, -709.0, 52.0, 79.0, -734.0, 52.0, 0, 127, 0
L 79.0, -734.0, 52.0, 50.0, -734.0, 52.0, 0, 127, 0
L 50.0, -734.0, 52.0, 22.0, -706.0, 52.0, 0, 127, 0
L 17.0, -692.0, 36.0, 17.0, -690.0, 35.0, 0, 255, 255
L 17.0, -660.0, 20.0, 17.0, -646.0, 18.0, 0, 255, 0
L -34.0, -534.0, 0.0, -34.0, -514.0, 2.0, 0, 0, 0
L -17.0, -692.0, 4.0, -17.0, -690.0, 5.0, 0, 255, 0
L 59.0, -700.0, 4.0, 70.0, -700.0, 4.0, 0, 255, 0
L 70.0, -700.0, 4.0, 70.0, -688.0, 4.0, 0, 255, 0
L 70.0, -688.0, 4.0, 59.0, -688.0, 4.0, 0, 255, 0
L 59.0, -700.0, 4.0, 59.0, -688.0, 4.0, 0, 255, 0
L -67.0, -646.0, 16.0, -67.0, -608.0, 16.0, 0, 255, 0
L -67.0, -584.0, 16.0, -67.0, -538.0, 16.0, 0, 255, 0
L -67.0, -534.0, 16.0, -67.0, -518.0, 16.0, 0, 255, 0
L -50.0, -610.0, 2.0, -50.0, -604.0, 2.0, 0, 0, 0
L -50.0, -642.0, -13.0, -50.0, -664.0, -13.0, 0, 127, 0
L -50.0, -664.0, -13.0, -42.0, -672.0, -13.0, 0, 127, 0
L -42.0, -672.0, -13.0, -27.0, -672.0, -13.0, 0, 127, 0
L -27.0, -672.0, -13.0, -27.0, -643.0, -13.0, 0, 127, 0
L -27.0, -643.0, -13.0, -41.0, -629.0, -13.0, 0, 127, 0
L -41.0, -629.0, -13.0, -40.0, -602.0, -13.0, 0, 127, 0
L -40.0, -602.0, -13.0, -13.0, -574.0, -13.0, 0, 127, 0
L -13.0, -574.0, -13.0, 0.0, -574.0, -13.0, 0, 127, 0
L 0.0, -574.0, -13.0, 13.0, -588.0, -13.0, 0, 127, 0
L 13.0, -588.0, -13.0, 56.0, -588.0, -13.0, 0, 127, 0
L 56.0, -588.0, -13.0, 56.0, -574.0, -13.0, 0, 127, 0
L 56.0, -574.0, -13.0, 69.0, -574.0, -13.0, 0, 127, 0
L 69.0, -574.0, -13.0, 69.0, -588.0, -13.0, 0, 127, 0
L 69.0, -588.0, -13.0, 111.0, -630.0, -13.0, 0, 127, 0
L 111.0, -630.0, -13.0, 124.0, -630.0, -13.0, 0, 127, 0
L 124.0, -630.0, -13.0, 124.0, -642.0, -13.0, 0, 127, 0
L 124.0, -642.0, -13.0, 111.0, -642.0, -13.0, 0, 127, 0
L 111.0, -642.0, -13.0, 69.0, -685.0, -13.0, 0, 127, 0
L 69.0, -685.0, -13.0, 69.0, -698.0, -13.0, 0, 127, 0
L 69.0, -698.0, -13.0, 56.0, -698.0, -13.0, 0, 127, 0
L 56.0, -684.0, -13.0, 13.0, -684.0, -13.0, 0, 127, 0
L 13.0, -684.0, -13.0, 0.0, -684.0, -13.0, 240, 240, 0
L 0.0, -707.0, -17.0, 0.0, -742.0, -17.0, 127, 0, 0
L 0.0, -742.0, -17.0, -42.0, -742.0, -17.0, 127, 0, 0
L -42.0, -742.0, -17.0, -56.0, -738.0, -17.0, 127, 0, 0
L -56.0, -738.0, -17.0, -84.0, -742.0, -18.0, 127, 0, 0
L -55.0, -750.0, -17.0, -41.0, -754.0, -17.0, 127, 0, 0
L -41.0, -754.0, -17.0, 0.0, -754.0, -17.0, 127, 0, 0
L 0.0, -754.0, -17.0, 13.0, -741.0, -17.0, 127, 0, 0
L 13.0, -741.0, -17.0, 13.0, -708.0, -17.0, 127, 0, 0
L 13.0, -708.0, -17.0, 13.0, -686.0, -13.0, 0, 127, 0
L 56.0, -698.0, -13.0, 56.0, -684.0, -13.0, 0, 127, 0
L 13.0, -672.0, -13.0, 44.0, -672.0, -13.0, 0, 127, 0
L 13.0, -672.0, -13.0, 13.0, -668.0, -13.0, 0, 127, 0
L 0.0, -586.0, -13.0, -14.0, -586.0, -13.0, 0, 127, 0
L -14.0, -586.0, -13.0, -28.0, -601.0, -13.0, 0, 127, 0
L -28.0, -601.0, -13.0, -28.0, -630.0, -13.0, 0, 127, 0
L -28.0, -630.0, -13.0, -14.0, -644.0, -13.0, 0, 127, 0
L -14.0, -644.0, -13.0, -14.0, -684.0, -13.0, 0, 127, 0
L -14.0, -684.0, -13.0, -61.0, -684.0, -13.0, 0, 127, 0
L -67.0, -679.0, -13.0, -61.0, -684.0, -13.0, 0, 127, 0
L -67.0, -679.0, -13.0, -67.0, -642.0, -13.0, 0, 127, 0
L -67.0, -642.0, -13.0, -65.0, -642.0, -13.0, 0, 127, 0
L -50.0, -642.0, -13.0, -52.0, -642.0, -13.0, 0, 127, 0
L 13.0, -600.0, -13.0, 44.0, -600.0, -13.0, 0, 127, 0
L 57.0, -601.0, -27.0, 56.0, -588.0, -27.0, 127, 0, 0
L 56.0, -588.0, -27.0, 69.0, -588.0, -27.0, 127, 0, 0
L 69.0, -588.0, -27.0, 69.0, -602.0, -27.0, 127, 0, 0
L 69.0, -602.0, -27.0, 97.0, -630.0, -27.0, 127, 0, 0
L 97.0, -630.0, -27.0, 110.0, -630.0, -27.0, 127, 0, 0
