P 100, 1300, 0, 0, 0, 0, 2, Original_Map:_Goodurden<RoI>
P 100, 1500, 0, 0, 0, 0, 2, Revised_Map:_Brewall_Rainsinger_(Cazic-Thule)
P 100, 1700, 0, 0, 0, 0, 2, http://www.eqmaps.info
P 100, 1900, 0, 0, 0, 0, 2, Return_of_the_Exiled_(www.roteguild.org)
P 100, 2100, 0, 0, 0, 0, 2, Height_Filter:_25/25
L 41.0, 605.0, -69.0, 39.0, 605.0, -69.0, 0, 255, 0
L 41.0, 605.0, -69.0, 41.0, 630.0, -69.0, 0, 255, 0
L 145.0, 630.0, -69.0, 155.0, 644.0, -69.0, 0, 255, 0
L 155.0, 644.0, -69.0, 162.0, 644.0, -70.0, 0, 255, 0
L 162.0, 644.0, -70.0, 168.0, 640.0, -69.0, 0, 255, 0
L 39.0, 600.0, -69.0, 69.0, 600.0, -69.0, 0, 255, 0
L 69.0, 600.0, -69.0, 69.0, 532.0, -69.0, 0, 255, 0
L 69.0, 532.0, -69.0, 14.0, 532.0, -69.0, 0, 255, 0
L 14.0, 532.0, -69.0, 14.0, 600.0, -69.0, 0, 255, 0
L 14.0, 600.0, -69.0, 30.0, 600.0, -69.0, 0, 255, 0
L 121.0, 593.0, -70.0, 98.0, 615.0, -70.0, 0, 255, 0
L 98.0, 615.0, -70.0, 98.0, 610.0, -70.0, 0, 255, 0
L 121.0, 593.0, -70.0, 111.0, 574.0, -69.0, 0, 255, 0
L 111.0, 574.0, -69.0, 111.0, 517.0, -69.0, 0, 255, 0
L 95.0, 610.0, -69.0, 98.0, 610.0, -70.0, 0, 255, 0
L 111.0, 517.0, -69.0, 139.0, 489.0, -67.0, 0, 255, 0
L 139.0, 489.0, -67.0, 139.0, 461.0, -68.0, 0, 255, 0
L 139.0, 461.0, -68.0, 153.0, 447.0, -71.0, 0, 255, 0
L 153.0, 447.0, -71.0, 167.0, 419.0, -75.0, 0, 255, 0
L 167.0, 419.0, -75.0, 167.0, 406.0, -76.0, 0, 255, 0
L 167.0, 406.0, -76.0, 139.0, 350.0, -86.0, 0, 255, 0
L 139.0, 350.0, -86.0, 111.0, 336.0, -86.0, 0, 255, 0
L 111.0, 336.0, -86.0, 84.0, 350.0, -83.0, 0, 255, 0
L 84.0, 350.0, -83.0, 84.0, 377.0, -80.0, 0, 255, 0
L 84.0, 377.0, -80.0, 111.0, 390.0, -80.0, 0, 255, 0
L 111.0, 390.0, -80.0, 125.0, 376.0, -82.0, 0, 255, 0
L 125.0, 376.0, -82.0, 140.0, 391.0, -79.0, 0, 255, 0
L 140.0, 391.0, -79.0, 140.0, 406.0, -76.0, 0, 255, 0
L 140.0, 406.0, -76.0, 126.0, 434.0, -72.0, 0, 255, 0
L 126.0, 434.0, -72.0, 126.0, 449.0, -71.0, 0, 255, 0
L 126.0, 449.0, -71.0, 97.0, 434.0, -64.0, 0, 255, 0
L 97.0, 434.0, -64.0, 70.0, 448.0, -69.0, 0, 255, 0
L 70.0, 448.0, -69.0, 55.0, 448.0, -69.0, 0, 255, 0
L 55.0, 448.0, -69.0, 41.0, 420.0, -70.0, 0, 255, 0
L 41.0, 420.0, -70.0, 26.0, 405.0, -68.0, 0, 255, 0
L 26.0, 405.0, -68.0, 13.0, 378.0, -69.0, 0, 255, 0
L 13.0, 378.0, -70.0, -14.0, 364.0, -70.0, 0, 255, 0
L -14.0, 364.0, -70.0, -56.0, 364.0, -69.0, 0, 255, 0
L -56.0, 364.0, -69.0, -70.0, 350.0, -69.0, 0, 255, 0
L -70.0, 350.0, -69.0, -97.0, 350.0, -69.0, 0, 255, 0
L -97.0, 350.0, -69.0, -111.0, 364.0, -69.0, 0, 255, 0
L -111.0, 364.0, -69.0, -111.0, 391.0, -69.0, 0, 255, 0
L -111.0, 391.0, -69.0, -97.0, 404.0, -69.0, 0, 255, 0
L -97.0, 404.0, -69.0, -70.0, 404.0, -69.0, 0, 255, 0
L -70.0, 404.0, -69.0, -51.0, 386.0, -69.0, 0, 255, 0
L -51.0, 386.0, -69.0, -13.0, 404.0, -68.0, 0, 255, 0
L -13.0, 404.0, -68.0, 14.0, 433.0, -69.0, 0, 255, 0
L 14.0, 433.0, -69.0, 14.0, 462.0, -69.0, 0, 255, 0
L 14.0, 462.0, -69.0, 0.0, 462.0, -76.0, 0, 255, 0
L 0.0, 462.0, -76.0, -14.0, 447.0, -77.0, 0, 255, 0
L -14.0, 447.0, -77.0, -14.0, 434.0, -77.0, 0, 255, 0
L -14.0, 434.0, -77.0, -28.0, 420.0, -77.0, 0, 255, 0
L -28.0, 420.0, -77.0, -55.0, 420.0, -77.0, 0, 255, 0
L -55.0, 420.0, -77.0, -55.0, 447.0, -77.0, 0, 255, 0
L -55.0, 447.0, -77.0, -42.0, 459.0, -77.0, 0, 255, 0
L -43.0, 478.0, -77.0, -56.0, 491.0, -82.0, 0, 255, 0
L -43.0, 478.0, -77.0, -36.0, 482.0, -78.0, 0, 255, 0
L -36.0, 482.0, -78.0, -26.0, 475.0, -75.0, 0, 255, 0
L -26.0, 475.0, -75.0, -19.0, 461.0, -77.0, 0, 255, 0
L -19.0, 461.0, -77.0, -26.0, 450.0, -78.0, 0, 255, 0
L -26.0, 450.0, -78.0, -40.0, 456.0, -77.0, 0, 255, 0
L -40.0, 456.0, -77.0, -42.0, 459.0, -77.0, 0, 255, 0
L -56.0, 491.0, -82.0, -70.0, 462.0, -83.0, 0, 255, 0
L -70.0, 462.0, -83.0, -97.0, 448.0, -83.0, 0, 255, 0
L -97.0, 448.0, -83.0, -111.0, 462.0, -81.0, 0, 255, 0
L -111.0, 462.0, -81.0, -111.0, 489.0, -75.0, 0, 255, 0
L -111.0, 489.0, -75.0, -69.0, 502.0, -79.0, 0, 255, 0
L -69.0, 502.0, -79.0, -42.0, 502.0, -78.0, 0, 255, 0
L -42.0, 502.0, -78.0, -29.0, 489.0, -78.0, 0, 255, 0
L -29.0, 489.0, -78.0, 0.0, 475.0, -74.0, 0, 255, 0
L 0.0, 475.0, -74.0, 13.0, 474.0, -69.0, 0, 255, 0
L 13.0, 474.0, -69.0, 42.0, 502.0, -69.0, 0, 255, 0
L 42.0, 502.0, -69.0, 84.0, 517.0, -70.0, 0, 255, 0
L 81.0, 672.0, -69.0, 128.0, 672.0, -60.0, 0, 255, 0
L 128.0, 672.0, -60.0, 126.0, 681.0, -60.0, 0, 255, 0
L 126.0, 681.0, -60.0, 130.0, 694.0, -60.0, 0, 255, 0
L 130.0, 694.0, -60.0, 139.0, 696.0, -60.0, 0, 255, 0
L 139.0, 696.0, -60.0, 139.0, 700.0, -63.0, 0, 255, 0
L 139.0, 700.0, -63.0, 142.0, 700.0, -62.0, 0, 255, 0
L 142.0, 697.0, -60.0, 142.0, 700.0, -62.0, 0, 255, 0
L 142.0, 697.0, -60.0, 148.0, 700.0, -61.0, 0, 255, 0
L 148.0, 700.0, -61.0, 150.0, 712.0, -71.0, 0, 255, 0
L 150.0, 712.0, -71.0, 154.0, 712.0, -71.0, 0, 255, 0
L 154.0, 712.0, -71.0, 156.0, 723.0, -71.0, 0, 255, 0
L 156.0, 723.0, -71.0, 151.0, 740.0, -70.0, 0, 255, 0
L 151.0, 740.0, -70.0, 157.0, 756.0, -70.0, 0, 255, 0
L 157.0, 756.0, -70.0, 173.0, 766.0, -70.0, 0, 255, 0
L 173.0, 766.0, -70.0, 173.0, 783.0, -71.0, 0, 255, 0
L 173.0, 783.0, -71.0, 155.0, 802.0, -72.0, 0, 255, 0
L 155.0, 802.0, -72.0, 131.0, 786.0, -71.0, 0, 255, 0
L 131.0, 786.0, -71.0, 118.0, 784.0, -70.0, 0, 255, 0
L 118.0, 784.0, -70.0, 113.0, 780.0, -71.0, 0, 255, 0
L 113.0, 780.0, -71.0, 91.0, 780.0, -71.0, 0, 255, 0
L 91.0, 780.0, -71.0, 91.0, 784.0, -69.0, 0, 255, 0
L 91.0, 784.0, -69.0, 111.0, 784.0, -69.0, 0, 255, 0
L 111.0, 784.0, -69.0, 139.0, 812.0, -69.0, 0, 255, 0
L 139.0, 812.0, -69.0, 139.0, 840.0, -69.0, 0, 255, 0
L 139.0, 840.0, -69.0, 178.0, 840.0, -69.0, 0, 255, 0
L 178.0, 842.0, -69.0, 180.0, 842.0, -69.0, 0, 255, 0
L 182.0, 842.0, -69.0, 182.0, 798.0, -69.0, 0, 255, 0
L 182.0, 798.0, -69.0, 237.0, 798.0, -69.0, 0, 255, 0
L 237.0, 798.0, -69.0, 237.0, 894.0, -69.0, 0, 255, 0
L 237.0, 894.0, -69.0, 209.0, 894.0, -69.0, 0, 255, 0
L 209.0, 894.0, -69.0, 209.0, 909.0, -71.0, 0, 255, 0
L 209.0, 909.0, -71.0, 223.0, 937.0, -70.0, 0, 255, 0
L 223.0, 937.0, -70.0, 222.0, 965.0, -71.0, 0, 255, 0
L 222.0, 965.0, -71.0, 209.0, 992.0, -71.0, 0, 255, 0
L 209.0, 992.0, -71.0, 181.0, 1006.0, -68.0, 0, 255, 0
L 181.0, 1006.0, -68.0, 111.0, 978.0, -69.0, 0, 255, 0
L 111.0, 978.0, -69.0, 111.0, 1006.0, -69.0, 0, 255, 0
L 111.0, 1006.0, -69.0, 28.0, 1006.0, -69.0, 0, 255, 0
L 28.0, 1006.0, -69.0, 28.0, 952.0, -69.0, 0, 255, 0
L 28.0, 952.0, -69.0, 72.0, 952.0, -69.0, 0, 255, 0
L 81.0, 952.0, -69.0, 81.0, 950.0, -69.0, 0, 255, 0
L 72.0, 947.0, -69.0, 72.0, 950.0, -69.0, 0, 255, 0
L 81.0, 947.0, -69.0, 83.0, 947.0, -69.0, 0, 255, 0
L 83.0, 947.0, -69.0, 83.0, 908.0, -69.0, 0, 255, 0
L 70.0, 947.0, -69.0, 72.0, 947.0, -69.0, 0, 255, 0
L 81.0, 952.0, -69.0, 111.0, 952.0, -69.0, 0, 255, 0
L 111.0, 952.0, -69.0, 111.0, 966.0, -69.0, 0, 255, 0
L 70.0, 947.0, -69.0, 70.0, 908.0, -69.0, 0, 255, 0
L 70.0, 908.0, -69.0, 42.0, 908.0, -69.0, 0, 255, 0
L 42.0, 908.0, -69.0, 14.0, 881.0, -69.0, 0, 255, 0
L 14.0, 881.0, -69.0, 14.0, 852.0, -69.0, 0, 255, 0
L 14.0, 852.0, -69.0, -24.0, 852.0, -69.0, 0, 255, 0
L -24.0, 852.0, -69.0, -24.0, 850.0, -69.0, 0, 255, 0
L -24.0, 842.0, -69.0, -26.0, 842.0, -69.0, 0, 255, 0
L -28.0, 850.0, -69.0, -26.0, 850.0, -69.0, 0, 255, 0
L -28.0, 850.0, -69.0, -28.0, 894.0, -69.0, 0, 255, 0
L -28.0, 894.0, -69.0, -83.0, 894.0, -69.0, 0, 255, 0
L -83.0, 836.0, -69.0, -87.0, 836.0, -69.0, 0, 255, 0
L -87.0, 836.0, -69.0, -87.0, 838.0, -69.0, 0, 255, 0
L -87.0, 838.0, -69.0, -98.0, 838.0, -69.0, 0, 255, 0
L -98.0, 838.0, -69.0, -98.0, 867.0, -69.0, 0, 255, 0
L -98.0, 867.0, -69.0, -126.0, 894.0, -69.0, 0, 255, 0
L -126.0, 894.0, -69.0, -153.0, 880.0, -69.0, 0, 255, 0
L -153.0, 880.0, -69.0, -180.0, 853.0, -69.0, 0, 255, 0
L -180.0, 853.0, -69.0, -166.0, 825.0, -68.0, 0, 255, 0
L -166.0, 825.0, -68.0, -139.0, 798.0, -69.0, 0, 255, 0
L -139.0, 798.0, -69.0, -126.0, 798.0, -69.0, 0, 255, 0
L -126.0, 798.0, -69.0, -98.0, 812.0, -66.0, 0, 255, 0
L -98.0, 812.0, -66.0, -98.0, 826.0, -69.0, 0, 255, 0
L -98.0, 826.0, -69.0, -87.0, 826.0, -69.0, 0, 255, 0
L -87.0, 828.0, -69.0, -83.0, 828.0, -69.0, 0, 255, 0
L -87.0, 826.0, -69.0, -87.0, 828.0, -69.0, 0, 255, 0
L -83.0, 836.0, -69.0, -83.0, 894.0, -69.0, 0, 255, 0
L -83.0, 828.0, -69.0, -83.0, 798.0, -69.0, 0, 255, 0
L -83.0, 798.0, -69.0, -28.0, 798.0, -69.0, 0, 255, 0
L -28.0, 798.0, -69.0, -28.0, 842.0, -69.0, 0, 255, 0
L -24.0, 842.0, -69.0, -24.0, 840.0, -69.0, 0, 255, 0
L -24.0, 840.0, -69.0, 14.0, 840.0, -69.0, 0, 255, 0
L 14.0, 840.0, -69.0, 14.0, 812.0, -69.0, 0, 255, 0
L 14.0, 812.0, -69.0, 42.0, 784.0, -69.0, 0, 255, 0
L 42.0, 784.0, -69.0, 70.0, 784.0, -69.0, 0, 255, 0
L 70.0, 784.0, -69.0, 70.0, 745.0, -69.0, 0, 255, 0
L 70.0, 745.0, -69.0, 72.0, 745.0, -69.0, 0, 255, 0
L 72.0, 745.0, -69.0, 72.0, 740.0, -69.0, 0, 255, 0
L 72.0, 740.0, -69.0, 28.0, 740.0, -69.0, 0, 255, 0
L 28.0, 740.0, -69.0, 28.0, 710.0, -69.0, 0, 255, 0
L 28.0, 702.0, -69.0, 28.0, 672.0, -69.0, 0, 255, 0
L 28.0, 672.0, -69.0, 72.0, 672.0, -69.0, 0, 255, 0
L 24.0, 700.0, -69.0, 24.0, 702.0, -69.0, 0, 255, 0
L 28.0, 702.0, -69.0, 26.0, 702.0, -69.0, 0, 255, 0
L 24.0, 710.0, -69.0, 24.0, 712.0, -69.0, 0, 255, 0
L 24.0, 712.0, -69.0, -28.0, 712.0, -69.0, 0, 255, 0
L -28.0, 712.0, -69.0, -28.0, 754.0, -69.0, 0, 255, 0
L -28.0, 754.0, -69.0, -64.0, 754.0, -64.0, 0, 255, 0
L -64.0, 754.0, -64.0, -58.0, 749.0, -64.0, 0, 255, 0
L -58.0, 749.0, -64.0, -56.0, 742.0, -64.0, 0, 255, 0
L -56.0, 742.0, -64.0, -41.0, 742.0, -67.0, 0, 255, 0
L -41.0, 742.0, -67.0, -41.0, 712.0, -69.0, 0, 255, 0
L -41.0, 712.0, -69.0, -111.0, 712.0, -68.0, 0, 255, 0
L -111.0, 712.0, -68.0, -111.0, 684.0, -69.0, 0, 255, 0
L -98.0, 700.0, -69.0, -98.0, 684.0, -69.0, 0, 255, 0
L -98.0, 684.0, -69.0, -84.0, 684.0, -67.0, 0, 255, 0
L -84.0, 684.0, -67.0, -84.0, 644.0, -60.0, 0, 255, 0
L -84.0, 644.0, -60.0, -139.0, 644.0, -60.0, 0, 255, 0
L -139.0, 644.0, -60.0, -139.0, 684.0, -69.0, 0, 255, 0
L -139.0, 684.0, -69.0, -111.0, 684.0, -69.0, 0, 255, 0
L -98.0, 700.0, -69.0, -41.0, 700.0, -69.0, 0, 255, 0
L -41.0, 700.0, -69.0, -41.0, 644.0, -60.0, 0, 255, 0
L -41.0, 644.0, -60.0, -34.0, 648.0, -60.0, 0, 255, 0
L -34.0, 648.0, -60.0, -28.0, 650.0, -59.0, 0, 255, 0
L -28.0, 650.0, -59.0, -28.0, 700.0, -69.0, 0, 255, 0
L -28.0, 700.0, -69.0, 24.0, 700.0, -69.0, 0, 255, 0
L 24.0, 710.0, -69.0, 26.0, 710.0, -69.0, 0, 255, 0
L 178.0, 840.0, -69.0, 178.0, 842.0, -69.0, 0, 255, 0
L 182.0, 850.0, -69.0, 180.0, 850.0, -69.0, 0, 255, 0
L 178.0, 852.0, -69.0, 178.0, 850.0, -69.0, 0, 255, 0
L 178.0, 852.0, -69.0, 139.0, 852.0, -69.0, 0, 255, 0
L 139.0, 852.0, -69.0, 139.0, 881.0, -69.0, 0, 255, 0
L 139.0, 881.0, -69.0, 111.0, 908.0, -69.0, 0, 255, 0
L 111.0, 908.0, -69.0, 83.0, 908.0, -69.0, 0, 255, 0
L 182.0, 850.0, -69.0, 182.0, 894.0, -69.0, 0, 255, 0
L 182.0, 894.0, -69.0, 196.0, 894.0, -69.0, 0, 255, 0
L 180.0, 842.0, -69.0, 182.0, 842.0, -69.0, 0, 255, 0
L 196.0, 894.0, -69.0, 196.0, 937.0, -71.0, 0, 255, 0
L 196.0, 937.0, -71.0, 211.0, 951.0, -70.0, 0, 255, 0
L 211.0, 951.0, -70.0, 195.0, 966.0, -71.0, 0, 255, 0
L 195.0, 966.0, -71.0, 181.0, 952.0, -70.0, 0, 255, 0
L 181.0, 952.0, -70.0, 140.0, 952.0, -70.0, 0, 255, 0
L 140.0, 952.0, -70.0, 126.0, 966.0, -71.0, 0, 255, 0
L 126.0, 966.0, -70.0, 111.0, 966.0, -69.0, 0, 255, 0
L 125.0, 62.0, 0.0, 112.0, 62.0, 0.0, 0, 0, 0
L 112.0, 71.0, 0.0, 112.0, 62.0, 0.0, 0, 0, 0
L 194.0, 578.0, -69.0, 194.0, 589.0, -69.0, 0, 0, 0
L 185.0, 584.0, -69.0, 183.0, 584.0, -69.0, 150, 150, 150
L 194.0, 589.0, -69.0, 194.0, 628.0, -69.0, 0, 0, 0
L 81.0, 950.0, -69.0, 81.0, 947.0, -69.0, 0, 255, 0
L 72.0, 950.0, -69.0, 72.0, 952.0, -69.0, 0, 255, 0
L 81.0, 950.0, -69.0, 79.0, 950.0, -69.0, 205, 133, 63
L 79.0, 947.0, -69.0, 74.0, 947.0, -69.0, 205, 133, 63
L 74.0, 952.0, -69.0, 79.0, 952.0, -69.0, 205, 133, 63
L 79.0, 947.0, -69.0, 79.0, 950.0, -69.0, 205, 133, 63
L 79.0, 950.0, -69.0, 79.0, 952.0, -69.0, 205, 133, 63
L 74.0, 947.0, -69.0, 74.0, 950.0, -69.0, 205, 133, 63
L 74.0, 950.0, -69.0, 72.0, 950.0, -69.0, 205, 133, 63
L 74.0, 950.0, -69.0, 74.0, 952.0, -69.0, 205, 133, 63
L 178.0, 844.0, -69.0, 178.0, 848.0, -69.0, 205, 133, 63
L 182.0, 848.0, -69.0, 182.0, 844.0, -69.0, 205, 133, 63
L 180.0, 850.0, -69.0, 178.0, 850.0, -69.0, 0, 255, 0
L 180.0, 842.0, -69.0, 180.0, 844.0, -69.0, 205, 133, 63
L 182.0, 848.0, -69.0, 180.0, 848.0, -69.0, 205, 133, 63
L 180.0, 848.0, -69.0, 180.0, 850.0, -69.0, 205, 133, 63
L 180.0, 848.0, -69.0, 178.0, 848.0, -69.0, 205, 133, 63
L 182.0, 844.0, -69.0, 180.0, 844.0, -69.0, 205, 133, 63
L 180.0, 844.0, -69.0, 178.0, 844.0, -69.0, 205, 133, 63
L -24.0, 848.0, -69.0, -24.0, 844.0, -69.0, 205, 133, 63
L -26.0, 842.0, -69.0, -28.0, 842.0, -69.0, 0, 255, 0
L -26.0, 842.0, -69.0, -26.0, 844.0, -69.0, 205, 133, 63
L -26.0, 850.0, -69.0, -24.0, 850.0, -69.0, 0, 255, 0
L -24.0, 848.0, -69.0, -26.0, 848.0, -69.0, 205, 133, 63
L -26.0, 848.0, -69.0, -26.0, 850.0, -69.0, 205, 133, 63
L -26.0, 848.0, -69.0, -28.0, 848.0, -69.0, 205, 133, 63
L -24.0, 844.0, -69.0, -26.0, 844.0, -69.0, 205, 133, 63
L -26.0, 844.0, -69.0, -28.0, 844.0, -69.0, 205, 133, 63
L -28.0, 844.0, -69.0, -28.0, 848.0, -69.0, 205, 133, 63
L 26.0, 702.0, -69.0, 24.0, 702.0, -69.0, 0, 255, 0
L 26.0, 710.0, -69.0, 28.0, 710.0, -69.0, 0, 255, 0
L 26.0, 702.0, -69.0, 26.0, 704.0, -69.0, 205, 133, 63
L 24.0, 708.0, -69.0, 24.0, 704.0, -69.0, 205, 133, 63
L 28.0, 704.0, -69.0, 28.0, 708.0, -69.0, 205, 133, 63
L 24.0, 704.0, -69.0, 26.0, 704.0, -69.0, 205, 133, 63
L 26.0, 704.0, -69.0, 28.0, 704.0, -69.0, 205, 133, 63
L 24.0, 708.0, -69.0, 26.0, 708.0, -69.0, 205, 133, 63
L 26.0, 708.0, -69.0, 26.0, 710.0, -69.0, 205, 133, 63
L 26.0, 708.0, -69.0, 28.0, 708.0, -69.0, 205, 133, 63
L 79.0, 667.0, -69.0, 74.0, 667.0, -69.0, 205, 133, 63
L 79.0, 672.0, -69.0, 74.0, 672.0, -69.0, 205, 133, 63
L 79.0, 667.0, -69.0, 79.0, 670.0, -69.0, 205, 133, 63
L 74.0, 667.0, -69.0, 74.0, 670.0, -69.0, 205, 133, 63
L 72.0, 670.0, -69.0, 72.0, 667.0, -69.0, 0, 255, 0
L 81.0, 670.0, -69.0, 81.0, 667.0, -69.0, 0, 255, 0
L 72.0, 670.0, -69.0, 74.0, 670.0, -69.0, 205, 133, 63
L 79.0, 670.0, -69.0, 79.0, 672.0, -69.0, 205, 133, 63
L 74.0, 670.0, -69.0, 74.0, 672.0, -69.0, 205, 133, 63
L 79.0, 670.0, -69.0, 81.0, 670.0, -69.0, 205, 133, 63
L 37.0, 600.0, -69.0, 32.0, 600.0, -69.0, 205, 133, 63
L 37.0, 605.0, -69.0, 32.0, 605.0, -69.0, 205, 133, 63
L 39.0, 603.0, -69.0, 39.0, 605.0, -69.0, 0, 255, 0
L 30.0, 603.0, -69.0, 30.0, 605.0, -69.0, 0, 255, 0
L 39.0, 603.0, -69.0, 37.0, 603.0, -69.0, 205, 133, 63
L 32.0, 600.0, -69.0, 32.0, 603.0, -69.0, 205, 133, 63
L 32.0, 603.0, -69.0, 30.0, 603.0, -69.0, 205, 133, 63
L 32.0, 603.0, -69.0, 32.0, 605.0, -69.0, 205, 133, 63
L 37.0, 600.0, -69.0, 37.0, 603.0, -69.0, 205, 133, 63
L 37.0, 603.0, -69.0, 37.0, 605.0, -69.0, 205, 133, 63
L 168.0, 634.0, -69.0, 168.0, 640.0, -69.0, 0, 255, 0
L 168.0, 628.0, -69.0, 168.0, 631.0, -69.0, 0, 0, 0
L 181.0, 628.0, -69.0, 181.0, 631.0, -69.0, 0, 0, 0
L 181.0, 634.0, -69.0, 181.0, 652.0, -70.0, 0, 255, 0
L 181.0, 631.0, -69.0, 181.0, 634.0, -69.0, 0, 0, 0
L 168.0, 631.0, -69.0, 168.0, 634.0, -69.0, 0, 0, 0
L 181.0, 631.0, -69.0, 177.0, 631.0, -69.0, 205, 133, 63
L 177.0, 628.0, -69.0, 171.0, 628.0, -69.0, 205, 133, 63
L 171.0, 634.0, -69.0, 177.0, 634.0, -69.0, 205, 133, 63
L 177.0, 628.0, -69.0, 177.0, 631.0, -69.0, 205, 133, 63
L 177.0, 631.0, -69.0, 177.0, 634.0, -69.0, 205, 133, 63
L 171.0, 628.0, -69.0, 171.0, 631.0, -69.0, 205, 133, 63
L 171.0, 631.0, -69.0, 168.0, 631.0, -69.0, 205, 133, 63
L 171.0, 631.0, -69.0, 171.0, 634.0, -69.0, 205, 133, 63
L 95.0, 630.0, -69.0, 95.0, 627.0, -69.0, 0, 255, 0
L 84.0, 630.0, -69.0, 84.0, 627.0, -69.0, 0, 255, 0
L 95.0, 627.0, -69.0, 95.0, 610.0, -69.0, 0, 255, 0
L 84.0, 627.0, -69.0, 84.0, 517.0, -69.0, 0, 255, 0
L 95.0, 630.0, -69.0, 145.0, 630.0, -69.0, 0, 255, 0
L 84.0, 630.0, -69.0, 41.0, 630.0, -69.0, 0, 255, 0
L 226.0, 472.0, -41.0, 226.0, 474.0, -41.0, 0, 0, 0
L 229.0, 472.0, -41.0, 234.0, 472.0, -41.0, 205, 133, 63
L 229.0, 476.0, -41.0, 234.0, 476.0, -41.0, 205, 133, 63
L 226.0, 474.0, -41.0, 226.0, 476.0, -41.0, 0, 0, 0
L 236.0, 474.0, -41.0, 236.0, 472.0, -41.0, 0, 0, 0
L 226.0, 474.0, -41.0, 229.0, 474.0, -41.0, 205, 133, 63
L 234.0, 472.0, -41.0, 234.0, 474.0, -41.0, 205, 133, 63
L 234.0, 474.0, -41.0, 236.0, 474.0, -41.0, 205, 133, 63
L 234.0, 474.0, -41.0, 234.0, 476.0, -41.0, 205, 133, 63
L 229.0, 476.0, -41.0, 229.0, 474.0, -41.0, 205, 133, 63
L 229.0, 474.0, -41.0, 229.0, 472.0, -41.0, 205, 133, 63
L 151.0, 318.0, -13.0, 152.0, 318.0, -13.0, 0, 0, 0
L 151.0, 310.0, -13.0, 152.0, 310.0, -13.0, 0, 0, 0
L 151.0, 316.0, -13.0, 151.0, 312.0, -13.0, 205, 133, 63
L 154.0, 312.0, -13.0, 154.0, 316.0, -13.0, 205, 133, 63
L 152.0, 310.0, -13.0, 154.0, 310.0, -13.0, 0, 0, 0
L 152.0, 318.0, -13.0, 154.0, 318.0, -13.0, 0, 0, 0
L 152.0, 310.0, -13.0, 152.0, 312.0, -13.0, 205, 133, 63
L 151.0, 316.0, -13.0, 152.0, 316.0, -13.0, 205, 133, 63
L 152.0, 316.0, -13.0, 152.0, 318.0, -13.0, 205, 133, 63
L 152.0, 316.0, -13.0, 154.0, 316.0, -13.0, 205, 133, 63
L 151.0, 312.0, -13.0, 152.0, 312.0, -13.0, 205, 133, 63
L 152.0, 312.0, -13.0, 154.0, 312.0, -13.0, 205, 133, 63
L 86.0, 276.0, -13.0, 84.0, 276.0, -13.0, 0, 0, 0
L 81.0, 268.0, -13.0, 81.0, 263.0, -13.0, 0, 0, 0
L 83.0, 321.0, -13.0, 83.0, 282.0, -13.0, 0, 0, 0
L 83.0, 282.0, -13.0, 81.0, 282.0, -13.0, 0, 0, 0
L 86.0, 268.0, -13.0, 84.0, 268.0, -13.0, 0, 0, 0
L 81.0, 282.0, -13.0, 81.0, 276.0, -13.0, 0, 0, 0
L 86.0, 268.0, -13.0, 86.0, 266.0, -13.0, 0, 0, 0
L 86.0, 278.0, -13.0, 86.0, 276.0, -13.0, 0, 0, 0
L 81.0, 274.0, -13.0, 81.0, 270.0, -13.0, 255, 255, 0
L 86.0, 270.0, -13.0, 86.0, 274.0, -13.0, 255, 255, 0
L 84.0, 268.0, -13.0, 81.0, 268.0, -13.0, 0, 0, 0
L 84.0, 276.0, -13.0, 81.0, 276.0, -13.0, 0, 0, 0
L 84.0, 268.0, -13.0, 84.0, 270.0, -13.0, 255, 255, 0
L 81.0, 270.0, -13.0, 84.0, 270.0, -13.0, 255, 255, 0
L 84.0, 270.0, -13.0, 86.0, 270.0, -13.0, 255, 255, 0
L 81.0, 274.0, -13.0, 84.0, 274.0, -13.0, 255, 255, 0
L 84.0, 274.0, -13.0, 84.0, 276.0, -13.0, 255, 255, 0
L 84.0, 274.0, -13.0, 86.0, 274.0, -13.0, 255, 255, 0
L 86.0, 221.0, -13.0, 84.0, 221.0, -13.0, 0, 0, 0
L 86.0, 222.0, -13.0, 86.0, 221.0, -13.0, 0, 0, 0
L 86.0, 214.0, -13.0, 86.0, 219.0, -13.0, 205, 133, 63
L 81.0, 214.0, -13.0, 81.0, 219.0, -13.0, 205, 133, 63
L 83.0, 212.0, -13.0, 86.0, 212.0, -13.0, 0, 0, 0
L 84.0, 221.0, -13.0, 81.0, 221.0, -13.0, 0, 0, 0
L 83.0, 212.0, -13.0, 83.0, 214.0, -13.0, 205, 133, 63
L 81.0, 214.0, -13.0, 83.0, 214.0, -13.0, 205, 133, 63
L 83.0, 214.0, -13.0, 86.0, 214.0, -13.0, 205, 133, 63
L 81.0, 219.0, -13.0, 84.0, 219.0, -13.0, 205, 133, 63
L 84.0, 219.0, -13.0, 84.0, 221.0, -13.0, 205, 133, 63
L 84.0, 219.0, -13.0, 86.0, 219.0, -13.0, 205, 133, 63
L -40.0, 71.0, 0.0, -40.0, 63.0, 0.0, 0, 0, 0
L -28.0, 71.0, 0.0, -28.0, 63.0, 0.0, 0, 0, 0
L -67.0, 172.0, -13.0, -67.0, 176.0, -13.0, 205, 133, 63
L -70.0, 172.0, -13.0, -70.0, 176.0, -13.0, 205, 133, 63
